sent_id,entity1,entity2,sent
TRAIN_SENT_ID_249528,李蔡,李广,如果 历史 是 残酷 的 ， 那么 霍去病 和 李广 、 李蔡 将军 一样 ， 不是 死 于 战场 的 敌我 交锋 中 ， 而是 死 于 隐秘 的 政治 利益 较量 。
TRAIN_SENT_ID_249529,李蔡,李广,而 他 的 堂兄弟 李蔡 才能 不如 他 却 官至 丞相 ， 古人 认为 奇数 不 吉利 ， 司马迁 评价 为 “ 李广 老 ， 数奇 。 ”
TRAIN_SENT_ID_249530,李蔡,李广,乐安 侯国 乐安 侯 李蔡 : 李蔡 ， 成纪 （ 今 甘肃 秦安北 ） 人 ， 李广 从弟 。
TRAIN_SENT_ID_249531,李蔡,李广,武帝时 代 ， 本是 开疆拓土 、 重奖 军功 的 年代 ， 李广 从弟 李蔡 文帝 时同 为 中郎 ， 景帝 时 一同 抗击 匈奴 ， 被 封 乐安 侯 ， 官至 丞相 。
TRAIN_SENT_ID_249532,李蔡,李广,班固 说 ： “ 山东 出相 ， 山西 出 将 ， 汉兴 ， 成纪 李广 、 李蔡 ， 上 邦 赵充国 ， 襄武 廉褒 ， 狄道 辛武贤 、 庆忌 ， 皆 以 勇武 显闻 。 ”
TRAIN_SENT_ID_249533,李蔡,李广,汉朝 时 ， 陇西 李氏 出 了 两位 重要 人物 ： 飞将军 李广 及其 从弟 李蔡 。
TRAIN_SENT_ID_249534,李蔡,李广,《 史记 . 李将军 列传 》 《 李广 传 》 均 称 ： 其 从弟 李蔡 被 “ 封 为 乐安 侯 ” 。
TRAIN_SENT_ID_249535,李蔡,李广,如写 李蔡 “ 为 人 在 下 中 ， 名声 出广下 远 甚 ” ， 但 却 能 封侯 拜相 ； 写 卫青 徇私情 而 排挤 李广 。
TRAIN_SENT_ID_249536,李蔡,李广,据 《 汉书 · 李广 传 》 记载 ， 李广有 从弟 李蔡 ， 武帝时 以 军功 封 安乐 侯 ， 后 为 丞相 ， 有罪 自杀 。
TRAIN_SENT_ID_249537,李蔡,李广,2 、 “ 李蔡 ” 两句 ： 言 李广 虽 功勋卓著 ， 却终 无 封侯之 赏 。
TRAIN_SENT_ID_249538,李蔡,李广,李贤 ： 汉兴 ， 义渠 公孙贺 、 傅介子 ， 成纪 李广 、 李蔡 ， 上 邽 赵充国 ， 狄道 辛武贤 ， 皆 名将 也 。
TRAIN_SENT_ID_249539,李蔡,李广,李贤 ： “ 汉兴 ， 义渠 公孙贺 、 傅介子 ， 成纪 李广 、 李蔡 ， 上 邽 赵充国 ， 狄道 辛武贤 ， 皆 名将 也 。 ”
TRAIN_SENT_ID_249540,李蔡,李广,2 词语 解释 : 指 李广 从弟 李蔡 。
TRAIN_SENT_ID_249541,李蔡,李广,’ 秦时 郿 白起 ， 频阳 王翦 ； 汉兴 ， 义渠 公孙贺 、 傅介子 ， 成纪 李广 、 李蔡 ， 上 邽 赵充国 ， 狄道 辛武贤 ： 皆 名将 也 。
TRAIN_SENT_ID_249542,李蔡,李广,李广 死 第二年 ， 李蔡 因罪 自杀 。
TRAIN_SENT_ID_249543,李蔡,李广,李蔡 生平事迹 较 简 ， 《 史记 》 《 汉书 》 均 附记 于 其堂 兄长 李广 的 传记 之中 ， 今 撮要 如下 ：
TRAIN_SENT_ID_249544,李蔡,李广,二人 同 出身 ， 同 做官 ， 同立 战功 ， 并且 李蔡 人品 、 才能 、 名声 远 不及 李广 ， 官名 、 爵位 却 在 李广之 上 。
TRAIN_SENT_ID_249545,李蔡,李广,当初 ， 李广 的 堂弟 李蔡 和 李广一 起 侍奉 文帝 。
