sent_id,entity1,entity2,sent
TRAIN_SENT_ID_248903,阮星竹,段正淳,“ 此时 ” 段正淳 正 茫然 的 望 着 阮星竹 ， 慕容复 心里 念叨 ‘ ’ 看来 段正淳 现在 是 不会 答应 我 的 了 ， 阮星竹 ， 要怨 便 怨 你 段郎 的 心 吧 ‘ ’ 。
TRAIN_SENT_ID_248904,阮星竹,段正淳,拖长 了 声音 叫 道 ： “ 一 — — 二 — — ” 段正淳 回过头来 ， 向 阮星竹 望去 ，
TRAIN_SENT_ID_248905,阮星竹,段正淳,听到 这 惨声 ， 段正淳 心里 一阵 悲痛 ， 他 觉得 此剑 刺 在 阮身 痛 在 自己 之心 啊 ， 于是 他 这时 当着 阮星竹 的 面对 她 大喊 了 一句 ： “ 阿星 ！ ”
TRAIN_SENT_ID_248906,阮星竹,段正淳,金庸 武侠小说 《 天龙八部 》 的 人物 ， 是 段正淳 与 情妇 阮星竹 所 生 之二 女 ， 脸目 姣好 ， 为 阿 朱的 妹妹 。
TRAIN_SENT_ID_248907,阮星竹,段正淳,段正淳 见 阿 紫 久久 没有 浮出 湖面 ， 便 唤出 阮星竹 救人 。
TRAIN_SENT_ID_248908,阮星竹,段正淳,张译木 饰演 的 “ 阮星竹 ” 因为 情郎 段正淳 而 死 在 慕容复 的 长剑 之下 。
TRAIN_SENT_ID_248909,阮星竹,段正淳,于是 慕容复 向 段正淳 情 人们 望 了 过去 ， 当 他 望 到 阮星竹 之 时 只见 今天 的 阮星竹 格外 漂亮 ， 还 穿着 性感 的 服装 。
TRAIN_SENT_ID_248910,阮星竹,段正淳,阿朱 告诉 乔峰 ， 自己 和 阿 紫 左 肩均 有 一个 “ 段 ” 字 ， 是 亲生 姊妹 ， 父亲 正是 段正淳 ， 母亲 则 是 阮星竹 。
TRAIN_SENT_ID_248911,阮星竹,段正淳,张译木 饰演 的 “ 阮星竹 ” 因为 情郎 段正淳 而 死 在 慕容复 的 长剑 之下 ， 被 一剑 封喉 惨死 ！
TRAIN_SENT_ID_248912,阮星竹,段正淳,阮星竹 ， 金庸 武侠小说 《 天龙八部 》 中 的 人物 ， 阿紫 与 阿 朱的 母亲 ， 段正淳 的 情妇 之一 ， 性情 顽皮 敏黠 ， 善 易容之 术 。
TRAIN_SENT_ID_248913,阮星竹,段正淳,此时 ” 段正淳 正 茫然 的 望 着 阮星竹 ， 慕容复 心里 念叨 ‘ ’ 看来 段正淳 现在 是 不会 答应 我 的 了 ， 阮星竹 ， 要怨 便 怨 你 段郎 的 心 吧 ‘ ’ 。
TRAIN_SENT_ID_248914,阮星竹,段正淳,阴错阳差 : 萧峰 寻至 小镜湖 方竹林 ， 段正淳 正在 与 隐居 于 此 的 旧情 人 阮星竹 重温 鸳梦 。
TRAIN_SENT_ID_248915,阮星竹,段正淳,比如 用 翠竹 、 白色 鹅卵石 和 石板 铺就 的 “ 竹韵 小屋 ” ， 可 扮演 段正淳 和 阮星竹 的 浪漫 ； 比如 在 铺天盖地 镜子 情侣 主题 酒店 ( 9 张 )
TRAIN_SENT_ID_248916,阮星竹,段正淳,然而 段正淳 的 仇人 、 阮星竹 的 仇人 ， 接踵而至 。
TRAIN_SENT_ID_248917,阮星竹,段正淳,那段 爱情 ， 可能 只是 段正淳 人生 中 又 一场 风流 游戏 ， 但 在 阮星竹 心中 ， 应该 是 段 非常 美好 的 回忆 。
TRAIN_SENT_ID_248918,阮星竹,段正淳,于是 慕容复 向 段正淳 情 人们 望 了 过去 ， 当 他 望 到 阮星竹 之 时 只见 今天 的 阮星竹 格外 漂亮 ， 还 穿着 低胸 性感 的 服装 。
TRAIN_SENT_ID_248919,阮星竹,段正淳,阮星竹 双目 璨 星 ， 从此 逝去 : 可 慕容复 可 不管 阮星竹 表情 对 着 段正淳 叫 道 ： “ 我数 一 、 二 、 三 、 你 再 不 点头 ， 莫怪 慕容复 手下无情 。 ”
TRAIN_SENT_ID_248920,阮星竹,段正淳,镜 湖畔 胭脂 岛上 有处 镜湖 小筑 ， 大理 皇族 镇南王 段正淳 与 旧情 人 阮星竹 偶 居于 此 。
TRAIN_SENT_ID_248921,阮星竹,段正淳,此刻 她 正 饰演 剧中 的 阮星竹 ， 即 段正淳 王爷 的 情人 ， 阿紫 、 阿 朱的 母亲 。
TRAIN_SENT_ID_248922,阮星竹,段正淳,当即 提剑 走 到 阮星竹 ， 秦红棉 ， 甘宝宝 身前 ， 转头 向 段正淳 道 ： “ 镇南王 ， 我 舅母 叫 我 杀 了 她们 三个 ， 你 意下如何 ？ ”
TRAIN_SENT_ID_248923,阮星竹,段正淳,阮星竹 心计 颇 高 ， 能 迅速 与 前来 刺杀 她 的 情敌 秦红棉 打成一片 并 互相 以 姐妹 相称 ， 但 同时 又 隐瞒 段正淳 的 去向 。
TRAIN_SENT_ID_248924,阮星竹,段正淳,萧峰 阴错阳差 : 萧峰 寻至 小镜湖 方竹林 ， 段正淳 正在 与 隐居 于 此 的 旧情 人 阮星竹 重温 鸳梦 。
TRAIN_SENT_ID_248925,阮星竹,段正淳,是 段正淳 与其 情人 阮星竹 所生 之 小女儿 ， 为 阿 朱的 妹妹 。
TRAIN_SENT_ID_248926,阮星竹,段正淳,阮星竹 在 段正淳 的 情妇 们 中间 ， 似乎 是 最 缺少 主见 心地 柔软 之 人 。
TRAIN_SENT_ID_248927,阮星竹,段正淳,三人 寻至 小镜湖 方竹林 ， 段正淳 正在 与 隐居 于 此 的 旧情 人 阮星竹 重温 鸳梦 。
TRAIN_SENT_ID_248928,阮星竹,段正淳,段正淳 心中 ， 只是 想着 当年 和 阮星竹 初会 时 的 旖旎 情景 ， 突听 “ 啊 ” 的 一声 惨呼 ， 慕容复 的 长剑 已 刺入 了 她 胸中 。
TRAIN_SENT_ID_248929,阮星竹,段正淳,阿朱为 大理 国 “ 镇南王 ” 段正淳 与 情妇 之一 阮星竹 所生 的 长女 ， 由于 父母亲 无法 抚养 而 弃之不顾 ， 从小 被 转送 至 其他 人家 。
TRAIN_SENT_ID_248930,阮星竹,段正淳,当即 提剑 走 到 阮星竹 身前 ， 转头 向 段正淳 道 ： “ 镇南王 ， 我 舅母 叫 我 杀 了 她 ， 你 意下如何 ？ ”
TRAIN_SENT_ID_248931,阮星竹,段正淳,双目 璨 如星 : 可 慕容复 可 不管 阮星竹 表情 对 着 段正淳 叫 道 ： “ 我数 一 、 二 、 三 、 你 再 不 点头 ， 莫怪 慕容复 手下无情 。 ”
TRAIN_SENT_ID_248932,阮星竹,段正淳,阿朱 ： 天龙八部 的 女主角 ， 段氏 ， 段正淳 与 阮星竹 的 私生女 之一 。
TRAIN_SENT_ID_248933,阮星竹,段正淳,他 曾 见 过 段正淳 另外 两个 情妇 ， 秦红棉 明朗 爽快 ， 阮星竹 俏 美爱娇 ， 【 这位 马夫人 却是 柔到 了 极处 ， 腻 到 了 极处 ， 又 是 另 一种 风流 】 。
TRAIN_SENT_ID_248934,阮星竹,段正淳,拖长 了 声音 叫 道 ： “ 一 — — 二 — — ” 段正淳 回过头来 ， 向 阮星竹 望去 ， 脸上 万般 柔情 ， 却 实是 无可奈何 。
TRAIN_SENT_ID_248935,阮星竹,段正淳,新版 《 天龙八部 》 饰 段正淳 ( 潘志文 饰 ) 其中 一 情妇 阮星竹
TRAIN_SENT_ID_248936,阮星竹,段正淳,” 段正淳 回过头来 ， 向 阮星竹 望去 ， 脸上 万般 柔情 ， 却 实是 无可奈何 。
TRAIN_SENT_ID_248937,阮星竹,段正淳,星宿 派 阿 紫 : 段正淳 和 阮星竹 的 女儿 ， 有个 姐姐 名为 阿朱 。
TRAIN_SENT_ID_248938,阮星竹,段正淳,"阿朱 ， 金庸 武侠小说 《 天龙八部 》 的 女主角 之一 ， 段正淳 与 阮星竹 之 长女 ， 为 姑苏 慕容 二婢 之一 ， 居 "" 听香 水榭 "" ， 擅 易容术 。"
TRAIN_SENT_ID_248939,阮星竹,段正淳,当即 提剑 走 到 阮星竹 ， 秦红棉 以及 甘宝宝 身前 ， 转头 向 段正淳 道 ： “ 镇南王 ， 我 舅母 叫 我 杀 了 她们 ， 你 意下如何 ？ ”
TRAIN_SENT_ID_251361,李安琪,李小鹏,7 月 11 日 ， 李小鹏 与 李安琪 在 北京 举行 婚宴 。
TRAIN_SENT_ID_251362,李安琪,李小鹏,2015 年 12 月 25 日 ， 李小鹏 在 微博 证实 李安琪 怀有 二胎 。
TRAIN_SENT_ID_251363,李安琪,李小鹏,冠军 ： 钟汉良 Jackie ， 亚军 ： 李小鹏 李安琪 ， 季军 ： 白举纲 关晓彤 。
TRAIN_SENT_ID_251364,李安琪,李小鹏,2 、 李小鹏 李安琪
TRAIN_SENT_ID_251365,李安琪,李小鹏,2016 年 5 月 11 日 ， 李安琪 与 李小鹏 的 儿子 在 美国 出生 。
TRAIN_SENT_ID_251366,李安琪,李小鹏,2010 年 6 月 3 日 ， 体操 名将 李小鹏 与 李安琪 在 美国 举行 婚礼 。
TRAIN_SENT_ID_251367,李安琪,李小鹏,2012 年 1 月 12 日 ， 李小鹏 与 李安琪 的 女儿 李馨 琪 （ Olivia ） 出 生于 美国 洛杉矶 。
TRAIN_SENT_ID_251368,李安琪,李小鹏,2016 年 5 月 11 日 ， 李小鹏 与 李安琪 的 儿子 在 美国 出生 。
TRAIN_SENT_ID_251369,李安琪,李小鹏,（ 第二名 ） 李小鹏 李安琪
TRAIN_SENT_ID_251370,李安琪,李小鹏,人物 经历 : 与 李小鹏 的 恋情 始于 2003 年 美国 的 安纳 海姆 ， 那 一次 小鹏 获得 了 金牌 ， 更 邂逅 了 人生 李安琪 婚礼 及 婚纱照 ( 30 张 )
TRAIN_SENT_ID_251371,李安琪,李小鹏,2012 年 1 月 12 日 ， 李安琪 与 李小鹏 的 女儿 李馨 琪 （ 奥莉 ） 在 美国 洛杉矶 出生 。
TRAIN_SENT_ID_251372,李安琪,李小鹏,李安琪 与 李小鹏 2003 年 与 李小鹏 相恋 于 美国 的 安纳 海姆 。
TRAIN_SENT_ID_251373,李安琪,李小鹏,李小鹏 李安琪
TRAIN_SENT_ID_251374,李安琪,李小鹏,（ 第一季 第二名 ） 李小鹏 李安琪
TRAIN_SENT_ID_251375,李安琪,李小鹏,2012 年 1 月 12 日 ， 李安琪 与 李小鹏 的 女儿 李馨 琪 （ Olivia ） 出 生于 美国 洛杉矶 。
TRAIN_SENT_ID_251376,李安琪,李小鹏,作为 本次 晚会 真正 的 主角 ， 李小鹏 带 着 妻子 李安琪 第一次 在 电视节目 中 公开 亮相 ， 小鹏 父母 等 “ 亲友团 ” 成员 ， 将 让 节目 现场 温情 四溢 。
TRAIN_SENT_ID_251377,李安琪,李小鹏,首尔 ( 鹭 梁津 水产 市场 ) 【 李小鹏 李安琪 让路 陈小春 郑伊健 】
TRAIN_SENT_ID_251378,李安琪,李小鹏,（ 第三名 ） 李小鹏 李安琪 ( 唯一 一组 使用 了 让路 ， 让路 陈小春 郑伊健 ， 使 他们 罚时 30 分钟 )
TRAIN_SENT_ID_251379,李安琪,李小鹏,10 月 ， 深圳 卫视 和英 菲尼迪 双方 联合 制作 中国 版 《 极速 前进 》 邀请 了 体操 冠军 李小鹏 及 妻子 李安琪 ， 并 获得 亚军 。
TRAIN_SENT_ID_251380,李安琪,李小鹏,2012 年 1 月 12 日 ， 李安琪 与 李小鹏 的 女儿 李馨 琪 （ 奥莉 ） 在 美国 洛杉矶 出生 [ 2 - 3 ] 。
TRAIN_SENT_ID_251381,李安琪,李小鹏,《 极速 前进 》 李小鹏 与 妻子 李安琪 首次 以 夫妻 档 身份 参加 综艺节目 ， 值得 期待 。
TRAIN_SENT_ID_251382,李安琪,李小鹏,1 、 李小鹏 李安琪
TRAIN_SENT_ID_251383,李安琪,李小鹏,2014 年 10 月 ， 深圳 卫视 和英 菲尼迪 双方 联合 制作 中国 版 《 极速 前进 》 邀请 了 体操 冠军 李小鹏 及 妻子 李安琪 ， 并 获得 亚军 。
TRAIN_SENT_ID_251384,李安琪,李小鹏,李安琪 的 丈夫 是 体操 名将 李小鹏 。
TRAIN_SENT_ID_251385,李安琪,李小鹏,2010 年 6 月 3 日 ， 李小鹏 与 女友 李安琪 经历 了 七年 的 爱情长跑 后 完美 收官 ， 在 美国 的 加州 携手 迈入 了 婚姻 的 殿堂 。
TRAIN_SENT_ID_251386,李安琪,李小鹏,李小鹏 和 李安琪 落座 后 ， 这台 退役 晚会 的 导演 就 开始 给 众人 讲 了 一遍 流程 。
TRAIN_SENT_ID_251387,李安琪,李小鹏,今天 李小鹏 携 妻子 李安琪 下午 四点 率先 来到 湖南 电视台 ， 进行 晚会 的 的 彩排 。
TRAIN_SENT_ID_251388,李安琪,李小鹏,“ 好 夫妻 ” 李安琪 李小鹏
TRAIN_SENT_ID_251389,李安琪,李小鹏,（ 第一名 ） 李小鹏 李安琪
TRAIN_SENT_ID_251390,李安琪,李小鹏,李安琪 （ 李小鹏 妻子 ）
TRAIN_SENT_ID_251391,李安琪,李小鹏,（ 李小鹏 李安琪 让路 陈小春 郑伊健 ）
TRAIN_SENT_ID_251392,李安琪,李小鹏,2015 年 7 月 ， 李安琪 跟随 李小鹏 参加 原创 明星 夫妻 户外 生存 真人秀 《 出发 吧 爱情 》 。
TRAIN_SENT_ID_251393,李安琪,李小鹏,2009 年 ， 李小鹏 携 女朋友 李安琪 首次 在 公众 场合 亮相 。
TRAIN_SENT_ID_251394,李安琪,李小鹏,（ 李小鹏 与 李安琪 的 女儿 ， 昵称 ： 奥莉 ）
TRAIN_SENT_ID_251395,李安琪,李小鹏,（ 体操 世界冠军 李小鹏 妻子 ） : 李安琪 ， 1987 年出 生于 美国 ， 美籍华人 。
TRAIN_SENT_ID_251396,李安琪,李小鹏,个人 生活 : 李安琪 ， 父母 皆 是 国家 体操 名将 ， 体操 名将 李小鹏 的 妻子 ， 李馨 琪 的 母亲 ， 美籍华人 。
TRAIN_SENT_ID_251397,李安琪,李小鹏,李小鹏 场外 生活 : 李小鹏 感情生活 : 李小鹏 与 李安琪 的 恋情 始于 2003 年 美国 的 安纳 海姆 ， 那 一次 小鹏 李小鹏 一家 ( 9 张 )
TRAIN_SENT_ID_251398,李安琪,李小鹏,李安琪 个人 生活 : 李安琪 ， 前 体操 世界冠军 李小平 和 前 体操 运动员 文佳 的 女儿 ， 体操 名将 李小鹏 的 妻子 ， 李馨 琪 的 母亲 ， 美籍华人 。
TRAIN_SENT_ID_251399,李安琪,李小鹏,3 、 李小鹏 李安琪 ( 使用 了 让路 ， 让路 陈小春 郑伊健 ， 使 他们 罚时 30 分钟 )
TRAIN_SENT_ID_251400,李安琪,李小鹏,7 月 11 日 ， 李小鹏 与 李安琪 在 北京 举行 一次 婚宴 。
TRAIN_SENT_ID_251401,李安琪,李小鹏,2009 年 1 月 7 日 ， 李小鹏 携 女朋友 李安琪 首次 在 公众 场合 亮相 。
TRAIN_SENT_ID_251402,李安琪,李小鹏,（ 第三名 ） 李小鹏 李安琪 ( 使用 了 让路 ， 让路 陈小春 郑伊健 ， 使 他们 罚时 30 分钟 )
TRAIN_SENT_ID_251403,李安琪,李小鹏,（ 体操 世界冠军 李小鹏 妻子 ） : 李安琪 ， 1987 年出 生于 美国 。
TRAIN_SENT_ID_251404,李安琪,李小鹏,极速 前进 历届 三强 : 第一季 ： 冠军 钟汉良 Jackie 亚军 李小鹏 李安琪 季军 白举纲 关晓彤
TRAIN_SENT_ID_252278,文姜,鲁桓公,⑼ 庸 ： 用 ， 指 文姜 嫁 与 鲁桓公 。
TRAIN_SENT_ID_252279,文姜,鲁桓公,七月 ， 鲁桓公 派 公子 翚 到 齐国 迎接 文姜 。
TRAIN_SENT_ID_252280,文姜,鲁桓公,此次 文姜 和 鲁桓公 来到 齐国 ， 齐襄公 再度 与 她 私通 。
TRAIN_SENT_ID_252281,文姜,鲁桓公,文姜 告诉 了 齐侯 ， 齐侯 发怒 ， 在 宴请 桓公 的 时候 ， 使 公子 彭生 扶 之 上车 拉断 其 肋骨 ， 鲁桓公 死 在 车上 了 。
TRAIN_SENT_ID_252282,文姜,鲁桓公,后来 ， 文姜 再度 为 鲁桓公 生 下 儿子 公子 友 。
TRAIN_SENT_ID_252283,文姜,鲁桓公,《 左传 》 记载 ， 公元前 694 年 ， 鲁桓公 要 去 齐国 ， 夫人 文姜 要求 同行 ， 鲁桓公 只得 答应 ， 文姜 和 齐襄公 趁机 相会 。
TRAIN_SENT_ID_252284,文姜,鲁桓公,齐襄公 在位 期间 ， 荒淫无道 ， 昏庸 无能 ， 与其 异母 妹 文姜 乱伦 ， 派 彭生 杀害 妹夫 鲁桓公 ， 而后 再 杀 彭生 以 向 鲁国 交代 。
TRAIN_SENT_ID_252285,文姜,鲁桓公,鲁桓公 死后 ， 齐襄公 与 文姜 便 频频 来往 于齐 、 鲁 之间 。
TRAIN_SENT_ID_252286,文姜,鲁桓公,汉 刘向 《 列女 传 · 鲁桓 文姜 》 ： “ 文姜 淫乱 ， 配 鲁桓公 ， 与 俱 归齐 ， 齐襄 淫通 。 ”
TRAIN_SENT_ID_252287,文姜,鲁桓公,鲁桓公 夫人 文姜 ， 齐女 也 。
TRAIN_SENT_ID_252288,文姜,鲁桓公,不过 ， “ 叮咛 ” 是 一 回事 ， 现实 又 是 一 回事 ， 良辰吉日 已到 ， 文姜 被 如期 送往 鲁国 ， 成为 鲁桓公 的 夫人 了 。
TRAIN_SENT_ID_252289,文姜,鲁桓公,老公 鲁桓公 知道 了 以后 ， 与 文姜 大吵一架 ， 文姜 便 跑 去 和 哥哥 告状 ， 于是 齐襄公 干脆 把 妹夫 杀 了 。
TRAIN_SENT_ID_252290,文姜,鲁桓公,文姜 把 这事 告诉 了 齐襄公 ， 齐襄公 在 酒宴 后 鲁桓公 乘车 将要 回国 时 ， 派 公子 彭生 将 鲁桓公 害死 在 车 中 。
TRAIN_SENT_ID_252291,文姜,鲁桓公,鲁桓公 得知 此事 后 ， 怒责 文姜 ， 文姜 将 鲁桓公 的 责骂 告诉 齐襄公 。
TRAIN_SENT_ID_252292,文姜,鲁桓公,鲁桓公 奉 周天子 之命 至 齐 商议 婚娶 大事 ， 自然 偕 夫人 文姜 ( 齐襄公 之妹 ) 一同 前往 。
TRAIN_SENT_ID_252293,文姜,鲁桓公,文姜 ， 嫁 鲁桓公 宣姜 丈夫 : 第一任 丈夫 ： 卫宣公
TRAIN_SENT_ID_252294,文姜,鲁桓公,语出 《 诗 · 齐风 · 敝 笱 序 》 ： “ 齐人恶 鲁桓公 微弱 ， 不能 防闲 文姜 ， 使 至 淫乱 ， 为二国 患焉 。 ”
TRAIN_SENT_ID_252295,文姜,鲁桓公,为了 躲过 鲁国 臣民 的 责难 ， 文姜 没有 随 鲁桓公 的 灵柩 回国 ， 而是 仍然 滞留 在 临淄 。
TRAIN_SENT_ID_252296,文姜,鲁桓公,不仅 文姜 有过 ， 鲁桓公 疏于 防闲 ， 软弱无能 ， 也 有 相当 可 “ 笑 ” 之 处 。
TRAIN_SENT_ID_252297,文姜,鲁桓公,公元前 694 年 ， 鲁桓公 到 齐国 ， 其妻 文姜 与 齐襄公 私通 ， 被桓公 察觉 ， 齐襄公 使 公子 彭生 杀桓公 。
TRAIN_SENT_ID_252298,文姜,鲁桓公,《 诗 · 齐风 · 南山 序 》 “ 《 南山 》 ， 刺 襄公 也 ” 毛传 ： “ 襄公之妹 ， 鲁桓公 夫人 文姜 也 ， 襄公素 与 淫通 。
TRAIN_SENT_ID_252299,文姜,鲁桓公,酒过三巡 之后 ， 文姜 对 鲁桓公 灿灿地 一笑 ：
TRAIN_SENT_ID_252300,文姜,鲁桓公,鲁桓公 六年 （ 前 706 年 ） ， 文姜 生 公子 同 （ 鲁庄公 ） 。
TRAIN_SENT_ID_252301,文姜,鲁桓公,文姜 ， 嫁 鲁桓公 丈夫 : 第一任 丈夫 ： 卫宣公
TRAIN_SENT_ID_252302,文姜,鲁桓公,文姜 自从 嫁给 鲁桓公 之后 ， 就 没有 再 和 齐襄公 见面 。
TRAIN_SENT_ID_252303,文姜,鲁桓公,鲁桓公 觉得 没 必要 推托 ， 妻子 自 出嫁 离家 已经 十几年 了 ， 一直 还 没有 回娘家 ， 于是 就 偕同 文姜 ， 大张旗鼓 地 前往 齐 都 临淄 访问 。
TRAIN_SENT_ID_252304,文姜,鲁桓公,郑玄 笺 ： “ 襄公之妹 ， 鲁桓公 夫人 文姜 也 。
TRAIN_SENT_ID_252305,文姜,鲁桓公,"⑨ 庸 : 用 , 指 文姜 嫁 与 鲁桓公 。"
TRAIN_SENT_ID_252306,文姜,鲁桓公,就 这样 ， 公子 彭生 去偿 了 人家 鲁桓公 的 命 ， 而 齐襄公 继续 与 文姜 来往 。
TRAIN_SENT_ID_252307,文姜,鲁桓公,鲁桓公 文姜
