sent_id,entity1,entity2,sent
TRAIN_SENT_ID_255125,胡斐,胡一刀,商老太 知 胡斐 乃 杀夫 仇人 胡一刀 之子 ， 溜出 宴厅 ， 紧闭 铁门 ， 指挥 众 家丁 堆柴 焚烧 ， 欲 将 胡斐 等 烤炙 成灰 。
TRAIN_SENT_ID_255126,胡斐,胡一刀,2007 年 ， 制片方 ： 大陆 ， 导演 ： 王晶 ， 主演 ： 聂远 饰 胡斐 ， 黄秋生 饰 胡一刀 ， 朱茵 饰 袁紫衣 ， 钟欣桐 饰 程灵素 ， 安以轩 饰 苗若兰
TRAIN_SENT_ID_255127,胡斐,胡一刀,1977 年 ， 制片方 ： 香港 佳视 ， 主演 ： 卫子云 饰 胡斐 / 胡一刀 ， 白彪 饰 苗人凤 ， 米雪 饰 袁紫衣 ， 李通明 饰 苗若兰
TRAIN_SENT_ID_255128,胡斐,胡一刀,红花 会 三 当家 赵半山 在 商家堡 路遇 胡一刀 遗孤 胡斐 ， 结为 忘年之交 。
TRAIN_SENT_ID_255129,胡斐,胡一刀,苗人凤 从 胡斐 所使 刀法 中 ， 发现 他 为 胡家 后人 ， 遂 向 他 坦言 胡一刀 之死 ， 乃 自己 间接 造成 ， 宁以 自己 性命 交托 胡斐 手上 以作 补偿 。
TRAIN_SENT_ID_255130,胡斐,胡一刀,和 《 碧血剑 》 有 相同之处 的 是 ， 《 雪山飞狐 》 中 真正 的 人物 ， 并 不是 胡斐 ， 而是 倒叙 中 的 苗人凤 和 胡一刀 夫妇 。
TRAIN_SENT_ID_255131,胡斐,胡一刀,雪山飞狐 （ 1978 ） 主演 ： 卫子云 （ 饰 胡斐 / 胡一刀 ） 米雪 文雪儿 李通明 白彪 伍卫国 罗乐林
TRAIN_SENT_ID_255132,胡斐,胡一刀,江汉 饰 胡一刀 / 胡斐
TRAIN_SENT_ID_255133,胡斐,胡一刀,当苗 、 田 找到 胡一刀 时 ， 倪雪刚 产下 一 子 ， 改名 胡斐 。
TRAIN_SENT_ID_255134,胡斐,胡一刀,胡斐 暗中 将牌 上 人名 胡一刀 改为 商剑鸣 。
TRAIN_SENT_ID_255135,胡斐,胡一刀,苗人凤 人物形象 : 《 雪山飞狐 》 主要 写 胡斐 与 苗人凤 和 胡一刀 夫妇 的 江湖 恩仇 。
TRAIN_SENT_ID_255136,胡斐,胡一刀,胡斐 是 飞狐 ， 狡黠 多智 应是 他 的 本色 ， 和 其父 胡一刀 又 有 不同 。
TRAIN_SENT_ID_255137,胡斐,胡一刀,该剧 讲述 了 李自成 护卫 胡一刀 之子 胡斐 复仇 的 故事 。
TRAIN_SENT_ID_255138,胡斐,胡一刀,饭后 ， 苗人凤 让 胡斐 看 了 家中 所供 胡一刀 夫妇 牌位 ， 承认 胡一刀 系己 所伤 。
TRAIN_SENT_ID_255139,胡斐,胡一刀,人物 经历 : 商老太 自此 将 马行空 视为 间接 仇敌 ， 将 胡一刀 视为 直接 仇敌 ， 但 她 并不知道 胡一刀 已死 ， 只留 一子 胡斐 。
TRAIN_SENT_ID_255140,胡斐,胡一刀,胡一刀 / 胡斐
TRAIN_SENT_ID_255141,胡斐,胡一刀,平阿四 ： 因感 胡一刀 救命之恩 ， 抚养 胡斐 长大 。
TRAIN_SENT_ID_255142,胡斐,胡一刀,1977 ， 电视 ， 香港 佳视 ， 卫子云 饰 胡一刀 + 胡斐 ， 白彪 饰 苗人凤 ， 米雪 饰 袁紫衣 ， 李通明 饰 苗若兰 ，
TRAIN_SENT_ID_255143,胡斐,胡一刀,1999 年 ， 制片方 ： 香港 无线 ， 导演 ： 李添胜 ， 主演 ： 陈锦鸿 饰 胡斐 ， 黄日华 饰 胡一刀 ， 佘诗曼 饰 苗若兰 ， 张兆辉 饰 田归农
TRAIN_SENT_ID_255144,胡斐,胡一刀,（ 不杀 苗人凤 ） ， 胡斐 到 衡阳 破庙 同时 打 阎基 + 田归农 ， 然后 回 苗人凤 处 ， 回忆 胡一刀 vs 苗人凤 ， 功力 提升 。
TRAIN_SENT_ID_255145,胡斐,胡一刀,十二月 二十 ， 胡一刀 之子 胡斐 出生 。
TRAIN_SENT_ID_255146,胡斐,胡一刀,1993 年 ， 制片方 ： 嘉禾 电影 公司 ， 导演 ： 潘文杰 ， 主演 ： 黎明 饰 胡斐 ， 李嘉欣 饰 程灵素 ， 张敏 饰 袁紫衣 ， 卢伟义 饰 胡一刀
TRAIN_SENT_ID_255147,胡斐,胡一刀,人物 遭遇 ： 胡一刀 之妻 ， 胡斐 之母 ， 为 胡一刀 、 苗人凤 的 知己 ， 胡一刀 死后 自杀 殉情 。
TRAIN_SENT_ID_255148,胡斐,胡一刀,刀法 的 达 人 ， 胡一刀 的 独生子 ， 胡斐 。
TRAIN_SENT_ID_255149,胡斐,胡一刀,冰雪儿 人物 设定 : 1991 年 电视剧 《 雪山飞狐 》 中 的 人物 ， 胡一刀 夫人 ， 男主角 胡斐 的 母亲 ， 由 龚慈恩 饰演 。
TRAIN_SENT_ID_255150,胡斐,胡一刀,后若兰 知道 胡斐身 份后 ， 向 他 言明 胡一刀 被害 真相 ， 胡斐 茅塞顿开 ， 决往 藏宝洞 向 严基 报仇 。
TRAIN_SENT_ID_255151,胡斐,胡一刀,1991 ， 电视 ， 台湾 ， 孟飞 饰 胡一刀 + 胡斐 ， 龚慈恩 饰 程灵素 ， 伍宇娟 饰 袁紫衣 + 袁银姑 + 圆性 ，
TRAIN_SENT_ID_255152,胡斐,胡一刀,数年 后 ， 胡斐 已 逐渐 长大 ， 平四 向 他 明言 胡一刀 被害 惨况 ， 勉励 他 应勤加 学习 ， 始 能 熟习 胡家刀法 以报 家仇 。
TRAIN_SENT_ID_255153,胡斐,胡一刀,苗人凤 身临其境 指点 了 其 家传 秘学 胡家刀法 ， 胡斐 有如 从 他 父亲 胡一刀 那儿 亲自 学到 要诀 ， 他 的 成长 在 此时 有 了 重大意义 的 突飞猛进 。
TRAIN_SENT_ID_255154,胡斐,胡一刀,杜希孟 为 免生 麻烦 ， 向 苗人凤 隐瞒 胡斐 踪迹 ， 并 利用 胡一刀 遗志 ， 引 苗人凤 说出 宝藏 所在 ， 可惜 人凤 毫不 知情 ， 令 杜希孟 大为 失望 。
TRAIN_SENT_ID_255155,胡斐,胡一刀,1985 年 ， 制片方 ： 香港 无线 ， 主演 ： 吕良伟 饰 胡斐 / 胡一刀 ， 谢贤 饰 苗人凤 ， 周秀兰 饰 袁紫衣 ， 曾华倩 饰 苗若兰
TRAIN_SENT_ID_255156,胡斐,胡一刀,1991 年 ， 制片方 ： 台湾 台视 ， 主演 ： 孟飞 饰 胡斐 / 胡一刀 ， 龚慈恩 饰 程灵素 ， 伍宇娟 饰 袁紫衣 / 袁银姑 / 圆性
TRAIN_SENT_ID_255157,胡斐,胡一刀,胡一刀 死后 ， 其子 胡斐 按刀 谱 习得 武功 ， 在 商家堡 初见 苗人凤 ， 赞其 风范 。
TRAIN_SENT_ID_255158,胡斐,胡一刀,商老太 人物 经历 : 商老太 自此 将 马行空 视为 间接 仇敌 ， 将 胡一刀 视为 直接 仇敌 ， 但 她 并不知道 胡一刀 已死 ， 只留 一子 胡斐 。
TRAIN_SENT_ID_255159,胡斐,胡一刀,二十六 ， 胡一刀 夫妇 遇难 ， 平阿四 救 走 胡斐 。
TRAIN_SENT_ID_255160,胡斐,胡一刀,杜希孟 假仁假义 ， 当年 平阿四 带 着 幼小 的 胡斐 投奔 他 ， 他 却 起心 不良 ， 想 侵占 胡一刀 的 武学秘 本 。
TRAIN_SENT_ID_255161,胡斐,胡一刀,胡斐 虽然 在 《 雪山飞狐 》 中 也 有 出现 ， 但 《 雪山飞狐 》 的 真正 主角 ， 其实 是 胡一刀 。
TRAIN_SENT_ID_255162,胡斐,胡一刀,吕良伟 饰 胡斐 / 胡一刀
TRAIN_SENT_ID_255163,胡斐,胡一刀,南兰 到 胡一刀 墓前 忏悔 时 ， 遇上 胡斐 ， 乘机 向 他 忏悔 一番 。
TRAIN_SENT_ID_255164,胡斐,胡一刀,1998 ， 电视 ， 香港 无线 ， 黄日华 饰 胡一刀 ， 陈锦鸿 饰 胡斐 ， 佘诗曼 饰 苗若兰 ， 张兆辉 饰 田归农 ， 尹扬明 饰 苗人凤 ，
TRAIN_SENT_ID_255165,胡斐,胡一刀,胡一刀 人物 评析 : “ 飞狐 ” 原 是 胡斐 的 外号 ， 但是 《 雪山飞狐 》 一书 之中 。
TRAIN_SENT_ID_255166,胡斐,胡一刀,孟飞 饰 胡斐 / 胡一刀
TRAIN_SENT_ID_255167,胡斐,胡一刀,1964 年 ， 制片方 ： 峨嵋 电影 公司 ， 主演 ： 江汉 饰 胡一刀 / 胡斐 ， 欧嘉慧饰 袁紫衣 ， 上官玉 饰 程灵素
TRAIN_SENT_ID_255168,胡斐,胡一刀,1985 年 ， 与 赵雅芝 主演 电视剧 《 雪山飞狐 》 ， 分饰 胡一刀 和 胡斐 两个 角色 。
TRAIN_SENT_ID_255169,胡斐,胡一刀,1986 ， 电视 ， 香港 无线 ， 吕良伟 饰 胡一刀 + 胡斐 ， 谢贤 饰 苗人凤 ， 周秀兰 饰 袁紫衣 ， 曾华倩 饰 苗若兰 ，
TRAIN_SENT_ID_255170,胡斐,胡一刀,佳视版 《 雪山飞狐 》 卫子云 米雪 文雪儿 卫子云 饰 胡斐 / 胡一刀
TRAIN_SENT_ID_255171,胡斐,胡一刀,人物形象 : 《 雪山飞狐 》 主要 写 胡斐 与 苗人凤 和 胡一刀 夫妇 的 江湖 恩仇 。
TRAIN_SENT_ID_255172,胡斐,胡一刀,所以 这里 的 “ 剑 ” 扮演 了 一个 两面 的 角色 ： 败 胡一刀 于剑 下 ， 又 要 以此 剑 的 破绽 输在 胡斐 的 刀 下 。
TRAIN_SENT_ID_256382,李天一,李双江,李双江 儿子 李天一 歌友会 《 爱 在 北京 - 天 · 亿 假日 歌友会 》 主持人
TRAIN_SENT_ID_256383,李天一,李双江,国外 媒体 的 报道 文章 中 尽管 对 李双江 的 歌手 身份 做出 了 介绍 ， 但 更 多 地 将 他 称为 “ 将军 ” ， 李天一 也 因此 不再 仅 是 “ 星 二代 ” 。
TRAIN_SENT_ID_256384,李天一,李双江,2011 年 9 月 14 日 下午 ， 李双江 对 其子 李天一 打人 事件 做出 处理 回应 后 ， 事件 中 受伤 夫妇 与 李 、 苏 二人 家长 会面 ， 双方 达成 和解 。
TRAIN_SENT_ID_256385,李天一,李双江,经 核实 ， 宝马 司机 年龄 15 岁 ， 无 驾照 ， 系 著名 歌唱家 李双江 之子 李天一 。
TRAIN_SENT_ID_256386,李天一,李双江,据 知情者 透露 ， 这名 年轻人 15 岁 ， 叫 李天一 ， 是 著名 歌唱家 李双江 、 梦鸽 夫妇 之子 。
TRAIN_SENT_ID_256387,李天一,李双江,在 谷歌 搜索 “ 李双江 、 歌唱家 ” 的 关键字 有近 万条 新闻 ， 而 再次 搜索 “ 李双江 、 李天一 ” 则 出现 60000 多条 新闻 。
TRAIN_SENT_ID_256388,李天一,李双江,在 视频 中 ， 李双江 趴在 地上 ， 母亲 梦鸽 则 把 怀抱 中 的 李天一 放在 李双江 背上 ， 爸爸 幸福 地 给 儿子 当 大马 骑 。
TRAIN_SENT_ID_256389,李天一,李双江,经 核实 ， 宝马 司机 年龄 15 岁 ， 无 驾照 ， 是 著名 歌唱家 李双江 之子 李天一 。
TRAIN_SENT_ID_256390,李天一,李双江,著名 歌唱家 李双江 之子 李天一 曾于 2009 、 2010 年 在 该校 学习 两年 。
TRAIN_SENT_ID_256391,李天一,李双江,拥有 《 红星 照 我 去 战斗 》 等 李双江 和 幼年 李天一 代表作 的 李双江 现年 74 岁 ， 而 李天一 的 母亲 是 女高音 歌唱家 梦鸽 ， 现年 47 岁 。
TRAIN_SENT_ID_256392,李天一,李双江,另据 记者 了解 ， 2012 年 “ 李天一 ” 被 解除 劳动教养 后 ， 其 父亲 李双江 便 为 其 改名 为 “ 李冠 丰 ” 。
TRAIN_SENT_ID_256393,李天一,李双江,从中 看到 全是 李双江 夫妇 对 孩子 的 爱 和 亲情 ， 如今 李天一 变成 这样 令人 惋惜 。
TRAIN_SENT_ID_256394,李天一,李双江,两起 案件 的 叠加 令 李天一 在 与 他 父亲 李双江 相关 的 外媒 报道 中 占据 了 可观 的 版面 。
TRAIN_SENT_ID_256395,李天一,李双江,著名 的 歌 二代 是 李双江 的 儿子 李天一 。
TRAIN_SENT_ID_256396,李天一,李双江,李天一 年龄 造假 : 李双江 前往 医院 向 伤者 道歉 ( 2 张 )
TRAIN_SENT_ID_256397,李天一,李双江,据此 前 警方 通报 的 情况 ， 李双江 之子 “ 李天一 ” 1996 年 4 月 出生 ， 其 被 抓获 时 未满 17 岁 。
TRAIN_SENT_ID_256398,李天一,李双江,李天一 小时候 嘴 很甜 ， 据 李双江 说 ， “ 他 经常 打电话 说 ， 爸爸 辛苦 ！
TRAIN_SENT_ID_256399,李天一,李双江,2011 年 9 月 14 日 下午 ， 李双江 对 其子 李天一 就 打人 事件 双方 达成 和解 ， 2012 年 9 月 19 日 被 解除 教养 ， 并 改名 李冠 丰 。
TRAIN_SENT_ID_256400,李天一,李双江,对于 片中 李双江 趴在 地上 让 儿子 李天一 双脚 踩 着 玩耍 、 骑 大马 的 情景 ， 被 冠以 “ 宠爱 孩子 ” 的 标签 ， 引发 网友 争议 。
TRAIN_SENT_ID_256401,李天一,李双江,李天一 案 社会 影响 : 杨澜 挺 李双江 儿子 引发 质疑
TRAIN_SENT_ID_256402,李天一,李双江,梦鸽 李天一 轮奸案 : 2013 年 2 月 22 日 ， 北京市公安局 海淀 分局 就 李双江 与 梦鸽 之子 李天一 涉嫌 强奸 女子 一案 通报 。
TRAIN_SENT_ID_256403,李天一,李双江,李双江 的 名人 身份 ， 以及 其子 “ 谁 敢 打 110 ” 的 经典语录 ， 引发 网友 热议 ， 李天一 被 戏称 为 “ 歌 二代 ” 。
TRAIN_SENT_ID_256404,李天一,李双江,“ 李双江 之子 李冠 丰 ( 原名 李天一 ) 因涉嫌 轮奸 已 被 刑事拘留 ” 。
TRAIN_SENT_ID_256405,李天一,李双江,同一天 ， 北京市公安局 海淀 分局 就 李双江 之子 李天一 涉嫌 强奸 女子 一事 进行 了 通报 。
TRAIN_SENT_ID_256406,李天一,李双江,无 牌照 宝马 的 车主 是 李双江 与 梦鸽 的 儿子 李天一 。
TRAIN_SENT_ID_256407,李天一,李双江,轮流 发生 性关系 事件 详情 : 警方 证实 李双江 之子 李天一 （ 李冠 丰 ） 涉嫌 强奸 一案 侦查 完结 ， 进入 检察机关 审查起诉 阶段 。
TRAIN_SENT_ID_256408,李天一,李双江,李双江 人物 争议 : 2011 年 9 月 8 日 ， 李双江 的 儿子 李天一 因 交通事故 打人 ， 并 在 打人 现场 高喊 ： “ 谁 敢 打 110 ？ ”
TRAIN_SENT_ID_256409,李天一,李双江,据 知情者 透露 ， 这名 年轻人 17 岁 ， 是 著名 歌唱家 李双江 、 梦鸽 夫妇 之子 李天一 。
TRAIN_SENT_ID_256410,李天一,李双江,博文 最后 ， 附上 了 李双江 之子 李天一 的 网页 链接 ， 暗指 涉事 男子 就是 李天一 。
TRAIN_SENT_ID_256411,李天一,李双江,当 我们 批评 李双江 们 教子 无方 溺爱 无度 、 批判 李天一 们 屡教不改 无可救药 的 同时 ， 最好 也 转身 看 一下 自己 ， 是否 有 端正 的 价值观 。
TRAIN_SENT_ID_256412,李天一,李双江,2013 年 2 月 22 日 ， 北京市公安局 海淀 分局 就 李双江 之子 李天一 涉嫌 强奸 女子 一事 进行 了 通报 。
TRAIN_SENT_ID_256413,李天一,李双江,被 拘留 的 李天一 是 李双江 之子 。
TRAIN_SENT_ID_256414,李天一,李双江,李天一 外界 评价 : 李天一 教育 反思 : 李天一 出 生于 1996 年 4 月 ， 当时 李双江 已经 57 岁 了 。
TRAIN_SENT_ID_256415,李天一,李双江,前段时间 几天 李双江 儿子 李天一 轮奸案 传 的 很 广 ， 这 事 背后 少不了 公关 力量 的 推动 ， 但 这种 推动 显然 迎合 了 受众 的 需求 ： 看 大人物 出丑 。
TRAIN_SENT_ID_256416,李天一,李双江,李天一 照片 曝光 : 当前 ， 由 相声 演员 牛群 当年 为 做 节目 在 李双江 家 拍摄 的 一段 视频 在 网上 流传 。
TRAIN_SENT_ID_257372,袁克文,袁世凯,1915 年 ， 方尔谦 到 天津 主持 《 津报 》 ， 文章 言辞 犀利 ， 语气 峭拔 ， 袁世凯 慕其 才 名 ， 延聘 他 为 儿子 袁克文 的 家庭教师 。
