sent,label
 四 薛 人物二 人物一 薛宝钗 薛宝琴,1
 冷子兴 官 人物二 人物一 外出 做生意,1
 冷子兴 官 人物二 人物一 邢岫烟 外出 做生意 参与 贩卖 官盐 邢岫烟 并不知道 情况,1
 人物二 打死 人命 牢里 耐不住 寂寞 勾引 人物一,1
 大色 空四 薛 人物二 人物一 薛宝钗 薛宝琴,1
 身份 薛姨妈 侄女 人物一 胞妹 人物二 薛宝钗 堂妹,1
 ▪ 薛姨妈 ▪ 人物二 ▪ 人物一 ▪ 薛宝钗 ▪ 薛宝琴,1
 宝姐姐 亲哥哥 指 人物二 样子 叔伯 兄弟 指 人物一 形容 举止 倒 象是 宝姐姐 同胞 弟兄,1
 人物二 打死 人命 下到 牢里 夏金桂 狼狈为奸 合伙 勾引 人物一 夏金桂 谋害 香菱 时 宝 蟾 无意 中救 香菱 一命,1
 薛姨妈 原来 说 人物二 为妻 考虑 人物二 行止 浮奢 怕 遭蹋 女儿 遂 改为 人物一 配婚,1
 人物二 从弟 人物一,1
 人物一 自然 薛家 正宗 一支 婚事 薛姨妈 作主 人物二 霸王 估计 族 里 人物一 此人 寄予 重,1
 人物二 人物一 一段 石火光阴 悲喜 不了,1
 程甲本 八十回 人物二 打死 人命 牢里 耐不住 寂寞 勾引 人物一,1
 人物一 人物二 堂弟 仪容 俊美 秉性 忠厚,1
 人物二 人物一 一段 石火光阴 悲喜 不了 风露 草霜 富贵 嗜欲 贪婪 不了,1
 人物二 案子 重判 夏金桂 大吵大闹 调戏 人物一 香菱 撞见 想 毒死 香菱 误食 毒药 死,1
 薛姨妈 侄女 人物一 胞妹 人物二 薛宝钗 堂妹,1
 恰在此时 人物二 堂弟 人物一 到来 素性 毫无 闺阁 礼法 夏金桂 宝蟾 主仆 二人 带来 一丝 曙光,1
 人物一 人物 经历 红楼梦 中 人物一 形象 人物一 小说 红楼梦 中 皇商 之子 薛姨妈 侄儿 薛宝琴 胞兄 人物二 薛宝钗 堂弟,1
 贾家 人物一 兄妹 明明白白 地写 人物二 从弟 邢夫人 兄嫂 写明,1
