sent,label
 这是 人物一 见 人物二 第一 反应 准确 合理 动情 戏 感人 这是 刻画 人物一 性格 第一个 台阶,1
 王延龄 同情 人物一 遭遇 便 出 一条 计策 香莲 假扮 做 一个 卖唱 人物二 寿诞 之日入 宫唱诉,1
 这出 戏唱 做 并重 人物一 公堂 痛斥 人物二 三 大段 淮调 慷慨激昂 深受 观众 欢迎,1
 四 明明 人物二 人物一,1
 耿其昌 饰演 人物一 中 人物二 重新 谱写 唱段,1
 写 宋代 人物二 别妻 人物一 入京 赴试 招为 驸马 抛弃 妻儿,1
 这时候 开封府 府尹 包拯 正 陈州 放粮 回来 一面 人物一 写 状子 一面 王朝 骗 人物二 开封府,1
 筷 文艳 饰 人物一 杨占魁 饰 人物二 何叫天 饰 王廷玉,1
 适逢 均州 荒年 人物二 父母 饿死 人物一 听到 丈夫 人物二 考中 消息 带领 儿女 千里 跋涉 前往 京城 开封 寻找,1
 人物二 人物二 做 陈士 美 传统 戏曲 人物一 又名 铡 美案 中 人物,1
 三 对面 剧情简介 人物二 招为 驸马 差 杀害 人物一 母子,1
 人物一 京城 第一天 客店 店主 张元龙 口中 打听 人物二 已经 中 状元 招为 驸马,1
 冬妹 女审 故事梗概 当年 人物一 携带 儿女 英哥 冬妹 千里迢迢 京城 找寻 丈夫 人物二,1
 人物二 家境贫寒 妻子 人物一 恩爱 和谐 十年 苦读 人物二 进京 赶考 中 状元 仁宗招 驸马,1
 铡 美 中 人物一 控诉 人物二 忘恩负义 一大 段 唱和 闯宫 一折 截然不同 形成 鲜明对比,1
 人物一 该不该 恨 人物二,1
 人物二 口称 疯女人 两 银子 打发 走时 人物一 个性,1
 朝堂 之上 为保 人物二 平安 人物一 面对 皇室 谎称 识 人物二 挥泪 告别 京城,1
 省吃俭用 人物一 没住 进 三室一厅 套房 人物二 抹布 扔 差点 经济 适用 坟 捞,1
 人物二 都督府 知孔 都督 前妻 人物一 时 惊且 恐 便 想 告辞,1
 故事 大纲 人物二 家境贫寒 妻子 人物一 恩爱 和谐 十年 苦读 人物二 进京 赶考 中 状元 仁宗招 驸马,1
 黄玉 棠 参与 制作 电影 欲海 遗恨 人物二 人物一,1
 人物一 演小 人物二,1
 人物一 一个 大手印 踏上去 当时 非要 会 人物二 搞 出 多破事,1
 王延龄 驸马 府 拜寿 之机 劝说 人物二 妻儿 相认 未 逹 目的 便 扇子 交给 人物一 前往 开封府 找 包公 告状,1
 人物一 中饰 人物二 碧玉簪 中饰 王玉林 主角,1
 人物一 怀抱 人物二 杀人 证据 一把 钢刀 告状 开封府 青天 大人 包拯,1
 包文正 秉公 办案 人物二 扣押 府 中 岚萍 公主 闻讯 后来 相府 以势压人 救 人物二 包文正 人物一 发了 争吵,1
 刘 箕裘 春蚕到死丝方尽 人物二 人物一,1
 均州 历史 人物二 人物一 两个 有没有 历史文献 文物 遗存 证明,1
 观众 对香莲 唱 丞相 念 世 美的 佯装 瞌睡 唱 死 人物一 说 死 王廷玉 睡 死 人物二 说,1
 人物二 看见 人物一 带 儿女 找 唯恐 失去 功名 富禄 昧着良心 不认 妻儿 人物一 母子 赶出 宫门,1
 天下第一 毒妇 人物一 内容简介 人物一 人物二 之妻,1
 琵琶 记 中 蔡伯喈 彩娄记 中 吕蒙正 张文秀 中 张文秀 人物一 中 人物二,1
 彩绣 十团 龙 红色 蟒袍 穿 人物 甘露寺 中 刘备 人物一 中 人物二 玉堂春 中 王金龙,1
 谜面 人物二 不认 人物一,1
 人物二 派家 韩琦 追杀 韩终 放走 人物一 母子 逼 自刎,1
 人物二 做 陈士 美 传统 戏曲 人物一 又名 铡 美案 中 人物,1
 人物一 见 人物二 毫无 一丝 悔悟 之心 正待 人物二 绑 押起来 王 丞相 带 圣旨 赶到,1
 何芙莲 演员 主要 电影 作品 富贵 似 浮云 人物二 人物一,1
 人物一 刘雪华 人物二 杨怀民 公主 侯炳莹,1
 人物一 中 人物二 进京 赶考 中 状元 招为 东床 驸马 贪图 富贵 不认 其妻 人物一 儿女 并命家 韩琪 追杀 人物一 母子,1
 村妇 人物一 带 一对 儿女 春哥 冬妹 千里迢迢 来到 京城 寻夫 原来 竟是 人物二 妻小,1
 盐山 京剧团 王素 鸾 饰 人物一 董美琴饰 人物二 余幼山饰 王延龄 包拯 沧州 专区 汇演 获得 奖励 一等,1
 ● 版 包青天 中 饰演 人物一 演员 刘雪华 该剧 饰演 人物二 母亲 人物一 婆婆 新老 两代 人物一 上演 不少 婆媳 对手戏,1
 好戏 登场 传统戏 人物一 怒 铡 人物二 选段,1
 掩人耳目 仇 胡 二人 授意 陈熟 美的 名字 改成 人物二 说 成 最后 成 驸马 原配 秦馨莲 改成 人物一,1
 人物一 唱 父母 冻饿 而亡 时 人物二 暗暗 落下 悲伤 泪水 正欲 上前 相认 忽 觉得 不妥 猛然 止住,1
 年代 末期 北方 评剧团 复排 历史剧 人物一 钟情 陈跃进 胡永红 考核 竞争 一个 饰演 人物二 一个 饰演 人物一,1
 即兴 之外 唱 人物一 骂 人物二 说 岳飞 斥 秦桧,1
 青天 难断 人物二 人物一 人物一 国父 纪念馆,1
 年 电视剧 人物一 中 饰演 人物二,1
 申在 剧中 演 人物一 王新民 演 包拯 王辅 安演 人物二 王新成 演 韩琦 杜彩霞 演国 太 阵容强大 西安 连演 两三个 月 引起轰动,1
 宋朝 时代 湖广 均 州府 一个 叫做 人物一 妇女 丈夫 人物二 上京 赶考 一去 三年 音信,1
 人物一 七口 冤魂 一告 再告 痛斥 人物二 良心 泯灭 枉 披人皮 人证 早已 纷纷 人物二 所杀,1
 分局长 要求 乡民 演出 歌仔戏 欢迎 黑道 老大 宫本 演出 人物二 人物一 影射 李胜 宏 负心,1
 人物一 进府 自是 人物二 一跳,1
 作品简介 穿越 成 人物一 一心 踢掉 渣 男 人物二,1
 人物一 告到 包府 包文正 铁面无私 公正 断案 铡 死 人物二,1
 人物一 中 人物二 进京 赶考 中 状元 招为 东床 驸马 地位 显贵 穿 十 圑 龙 红色 蟒袍,1
 人物一 年 饰 人物二,1
 人物一 赴京 寻夫 找到 人物二,1
 陈熟 美 人物二 人物一,1
 人物一 中 人物二,1
 均 县 北门 街不唱 人物二 秦家楼 唱 人物一 俗话,1
 西皮 散板 负心人 拼 性命 人物一 向前 欲 撞 人物二 英哥 冬妹 向前 扶 人物一,1
 人物一 无意 为难 婆婆 离家 人物二 种种 由头 欲 入赘 秦府 人物一 几番 阻拦 不及 人物二 最终 得知 秦父 身份,1
 均州 城中 人物一 帮助 人物二 进入 翰轩 书院 保护 一段 纯净 爱情 还须 顾及 秦府 父母 安危,1
 年 电视剧 人物一 中 饰演 人物二,1
 二十一 世纪 人物一 人物二,1
 宋代 士人 人物二 中 状元 招为 驸马 贪图 荣华 抛弃 前妻 人物一,1
 特别是在 评剧 传统 保留剧目 人物一 中 塑造 人物二 蜚声 香港地区 东南亚 各国 荣获 文化部 颁布 金质奖章,1
 人物二 执意 听 下毒手 暗中 派遣 韩琦 刺杀 人物一,1
 听说 人物一 女士 公子 人物二 抢走 包公 命令 王朝 马汉 搜 儿女 驸马 府上 搜证,1
 人物一 琵琶 词 一折 单长虹 饰 人物一 雷声 饰 人物二,1
 人物二 人物一 饰 公主,1
 闯宫 一场 戏一 人物一 母子 闯进 宫来 便 人物二 处境 推到 漩涡 中心,1
 人物二 事迹 人物二 家境贫寒 妻子 人物一 湖广 均州 人氏 湖北 丹江口 恩爱 和谐,1
 人物二 人物一,1
 人物二 家境贫寒 妻子 人物一 湖广 均州 人氏 湖北 丹江口 恩爱 和谐,1
 人物二 招为 驸马 差 杀害 人物一 母子,1
 人物二 授意 人物一 发配 边疆 半途中 官差 奉命 杀 幸为 展昭所救,1
 电影 剧情 人物二 妻子 人物一 鼓励 赴京 应考 高中 状元 招为 驸马,1
 包公 不顾 阻挠 铡 死 人物二 人物一 伸 冤,1
 人物一 扣留 人物二 随即 升堂 亲审 不孝 父母,1
 人物一 毫无 察觉 倾力 伺候 一家老小 艰难 筹钱 送 人物二 赴京 赶考,1
 欲 先父 翻案 扳倒 太师 取而代之 恰在此时 已到 京城 人物一 庞家 挟持 人物二 后婚 真相 即将 浮出 水面,1
 人物一 久 人物二 音讯 携子 上京 寻夫 人物二 不肯 相认 派 韩琪 半夜 追杀,1
 人物一 饰 人物二,1
 戏曲 杀庙 杀庙 戏曲 人物一 里 一出 折子戏 主人公 人物二,1
 人物二 妻子 人物一 家中 奉养 公婆 抚育 儿女 吃遍 苦头 历尽艰辛,1
 包公 见到 恩师 扇子 受理 此案 人物一 申冤 刀 铡 人物二,1
 没有 慷慨悲歌 愤怒 指责 冷处理 人物一 心理 动作 推向 更 高 层次 人物二 不寒而栗 这是 第三个 台阶,1
 人物二 人物一,1
 皇姑 太后 均 来讲 情 人物一 对质 惧 皇帝 三道 赦 旨 包拯 不顾 怒 铡 人物二,1
 人物二 陪同 已然 失忆 人物一 回城 寻亲 路遇 流落 民间 昭阳 公主 赵昭,1
 人物一 久 人物二 音讯 携子 上京 寻夫 人物二 不肯 相认 派 韩祺 半夜 追杀,1
 人物二 仕途 无望 得知 人物一 定情 信物 可能 皇家 辛秘 虽未 酿成 大错 险恶用心 逐渐 显现,1
 家乡 荒旱 公婆 饿死 人物一 携 儿女 进京 寻找 丈夫 人物二 知 陈考 中 状元 招为 驸马,1
 仿佛 当年 方成 先生 一幅 漫画 里 虚构 场景 蒙受 屈辱 人物一 包拯 告状 包拯 状子 大笔一挥 请 人物二 同志 查处,1
 年 人物一 陈浩民 饰 人物二,1
 明明 人物二 人物一,1
 人物二 假意 接 人物一 回 驸马 府 以二子 逼迫 人物一 休书 盖印,1
 琵琶 记 改编 河南 陕西 湖北 一带 演出 引起 观众 人物一 悲惨遭遇 同情 人物二 忘恩负义 愤慨,1
 玉碎 人物一 人物二,1
