sent,label
 四 薛 人物二 人物一 薛宝钗 薛宝琴,0
 冷子兴 官 人物二 人物一 外出 做生意,0
 冷子兴 官 人物二 人物一 邢岫烟 外出 做生意 参与 贩卖 官盐 邢岫烟 并不知道 情况,0
 人物二 打死 人命 牢里 耐不住 寂寞 勾引 人物一,0
 大色 空四 薛 人物二 人物一 薛宝钗 薛宝琴,0
 身份 薛姨妈 侄女 人物一 胞妹 人物二 薛宝钗 堂妹,0
 ▪ 薛姨妈 ▪ 人物二 ▪ 人物一 ▪ 薛宝钗 ▪ 薛宝琴,0
 宝姐姐 亲哥哥 指 人物二 样子 叔伯 兄弟 指 人物一 形容 举止 倒 象是 宝姐姐 同胞 弟兄,0
 人物二 打死 人命 下到 牢里 夏金桂 狼狈为奸 合伙 勾引 人物一 夏金桂 谋害 香菱 时 宝 蟾 无意 中救 香菱 一命,0
 薛姨妈 原来 说 人物二 为妻 考虑 人物二 行止 浮奢 怕 遭蹋 女儿 遂 改为 人物一 配婚,0
 人物二 从弟 人物一,0
 人物一 自然 薛家 正宗 一支 婚事 薛姨妈 作主 人物二 霸王 估计 族 里 人物一 此人 寄予 重,0
 人物二 人物一 一段 石火光阴 悲喜 不了,0
 程甲本 八十回 人物二 打死 人命 牢里 耐不住 寂寞 勾引 人物一,0
 人物一 人物二 堂弟 仪容 俊美 秉性 忠厚,0
 人物二 人物一 一段 石火光阴 悲喜 不了 风露 草霜 富贵 嗜欲 贪婪 不了,0
 人物二 案子 重判 夏金桂 大吵大闹 调戏 人物一 香菱 撞见 想 毒死 香菱 误食 毒药 死,0
 薛姨妈 侄女 人物一 胞妹 人物二 薛宝钗 堂妹,0
 恰在此时 人物二 堂弟 人物一 到来 素性 毫无 闺阁 礼法 夏金桂 宝蟾 主仆 二人 带来 一丝 曙光,0
 人物一 人物 经历 红楼梦 中 人物一 形象 人物一 小说 红楼梦 中 皇商 之子 薛姨妈 侄儿 薛宝琴 胞兄 人物二 薛宝钗 堂弟,0
 贾家 人物一 兄妹 明明白白 地写 人物二 从弟 邢夫人 兄嫂 写明,0
 金 桂和 宝蟾 勾引 人物二 堂弟 人物一 方面 倒 安静下来,0
 前妻 宝咏琴 年 结婚 婚后 育有 一对 儿女 儿子 人物二 岁 女儿 人物一 岁,0
 宝咏琴 刘銮雄 育有 一子一女 长子 人物二 年 岁 已于 年 伦敦 结婚 次女 人物一 同年 岁,0
 年底 离婚 前妻 宝咏琴 儿子 人物二 女儿 人物一,0
 前妻 宝咏琴 年 结婚 婚后 育有 一对 儿女 儿子 人物二 岁 女儿 人物一 岁,0
 抗日战争 胜利 国共 抢 关东 毛泽东 决定 中共 内部 东北 关联 全派 东北 工作 包括 人物二 四弟 人物一,0
 黄显声 特殊 囚犯 人物二 送 蒋介石 南京 囚禁 黄显声 会同 人物一 人为 营救 释放 人物二 奔走呼号 毫无结果,0
 人物一 左 人物二 中 合影 张,0
 至此 周恩来 张学铭 人物一 信 辗转 送到 人物二 手里,0
 长子 人物二 次子 张学铭 三子 张学曾 四子 人物一 五 子 张学森 六子 张学俊 七子 张学英 八子 张学铨,0
 人物二 喜欢 人物一,0
 人物一 回答 人物二 弟弟 人物一 现在 改名 张昉,0
 自此 张作霖 任命 张长发 子女 人物二 人物一 张学明 专职 武术 教师,0
