sent,label
 历史 残酷 霍去病 人物二 人物一 将军 死 战场 敌我 交锋 中 死 隐秘 政治 利益 较量,1
 堂兄弟 人物一 官至 丞相 古人 认为 奇数 吉利 司马迁 评价 人物二 老 数奇,1
 乐安 侯国 乐安 侯 人物一 人物一 成纪 甘肃 秦安北 人物二 从弟,1
 武帝时 代 本是 开疆拓土 重奖 军功 年代 人物二 从弟 人物一 文帝 时同 中郎 景帝 时 一同 抗击 匈奴 封 乐安 侯 官至 丞相,1
 班固 说 山东 出相 山西 出 汉兴 成纪 人物二 人物一 邦 赵充国 襄武 廉褒 狄道 辛武贤 庆忌 皆 勇武 显闻,1
 汉朝 时 陇西 李氏 出 两位 重要 人物 飞将军 人物二 从弟 人物一,1
 史记 李将军 列传 人物二 传 均 称 从弟 人物一 封 乐安 侯,1
 如写 人物一 中 名声 出广下 远 甚 封侯 拜相 写 卫青 徇私情 排挤 人物二,1
 汉书 人物二 传 记载 人物二有 从弟 人物一 武帝时 军功 封 安乐 侯 丞相 有罪 自杀,1
 人物一 两句 言 人物二 功勋卓著 却终 封侯之 赏,1
 李贤 汉兴 义渠 公孙贺 傅介子 成纪 人物二 人物一 邽 赵充国 狄道 辛武贤 皆 名将,1
 李贤 汉兴 义渠 公孙贺 傅介子 成纪 人物二 人物一 邽 赵充国 狄道 辛武贤 皆 名将,1
 词语 解释 指 人物二 从弟 人物一,1
 秦时 郿 白起 频阳 王翦 汉兴 义渠 公孙贺 傅介子 成纪 人物二 人物一 邽 赵充国 狄道 辛武贤 皆 名将,1
 人物二 死 第二年 人物一 因罪 自杀,1
 人物一 生平事迹 简 史记 汉书 均 附记 其堂 兄长 人物二 传记 之中 撮要,1
 二人 出身 做官 同立 战功 人物一 人品 名声 远 不及 人物二 官名 爵位 人物二之,1
 当初 人物二 堂弟 人物一 人物二一 侍奉 文帝,1
 李妍 觉得 李敢 一步 好棋 李氏家族 汉高祖 时代 朝廷 重臣 早有 名将 广武君 李左车 今有 安乐 侯 人物一 飞将军 人物二,1
 有没有 人物二 人物一 兄弟 优秀 将领 重新 收复 凉州 重回 汉家 故土,1
 人物一 才干 之中 声名 人物二 差得 远 人物二 得不到 封爵 封地 官位 没 超过 九卿 人物一 封为 列侯 官位 达到 三公,1
 史记 李将军 列传 汉书 人物二 传 均 称 从弟 人物一 封 乐安 侯,1
 人物一 人物二 从弟 下品 之中 九品 论人 属 第八 没有 能耐 青云直上 官运亨通 爵封 乐安 侯 官 一直 做到 宰相,1
 人物二有 堂兄弟 名叫 人物一 汉文帝 时 人物二同 郎 一级 小官 声望 远不如 人物二 一个 平凡 庸人,1
 裨将 校尉 侯者 九人 特将者 十五 人物二 张骞 公孙贺 人物一 曹襄 韩说 苏建 皆 自有 传,1
 人物一 人品 下中 名声 人物二 甚远 得以 封侯赐 邑 位至 三公,1
 人物一 人物二 堂弟 曾任 汉文帝 侍从 后任 汉武帝 第七个 丞相 勇敢 聪明 从军 军功 显赫 从政 政绩 卓著 获得 世人 好评,1
 ④ 李 轻车 汉朝 名将 人物二 堂弟 人物一 大将军 卫青 出征 匈奴 封 轻车 将军,1
 史记 叙 人物二 事 曾以 堂弟 人物一 反衬,1
 人物一 生平事迹 比较简单 史记 汉书 均 附记 堂兄 汉 将军 人物二 传记 之中,1
 人物一 人物二 堂弟,1
 人物二 人物一 成纪,1
 人物二 堂弟 人物一 任为 中 郎,1
 人物二 人物一 饰演 苏荀,1
 人物二 人物一 幕后 制作 花絮 张,1
 本剧 讲述 人物二 魔方 大厦 冒险 人物一 鲍尔 历险记 富有 科幻 色彩 充满 童真 童趣 故事 孩子 传递 健康 向上 正 能量,1
 人物二 红桃 老 内容梗概 人物二 人物一 舒克 贝塔 打扑克 发现 少 一张 红桃,1
 人物一 人物 来源 结束 新年 迎来送往 之后 郑渊洁 决定 山西 家里 创造 一个 中国式 童话 人物 人物二,1
 人物二 总动员 人物一 人物一 中国 童话 大王 郑渊洁 笔下 著名 人物 诞生 年 月 日 农历 新年 正月初 六,1
 人物二 人物一 罗克 舒克 贝塔 笔下 文学 形象,1
 人物二 人物一 故事 作者简介 年 郑渊洁 出生 河北省 石家庄市 其父 原籍 山西 临汾 其母 原籍 浙江 绍兴,1
 今天 中国 大陆 岁 很少 知道 笔下 人物二 人物一 舒克和贝塔,1
 人物一 人物二 孪生 妹妹 比起 令 老师 父母 头疼 哥哥 家长 老师 眼中 优等生 乖巧 懂事 认真学习 成绩,1
 人物二 人物一 碰巧 发现 教室 里 隐身人 想 知道 隐身人 秘密,1
 年 李馨巧 参演 电视剧 人物二 人物一 饰演 人物一,1
 舒克 舌战 贝塔 作者 介绍 郑渊洁 创作 童话 人物 人物二 人物一 舒克 贝塔 罗克 成为 亿万 小朋友 心中 明星,1
 笔下 人物二 人物一 舒克 贝塔 罗克 成为 注册商标,1
 郑渊洁 被誉为 童话 大王 创作 童话 人物 人物二 人物一 舒克 贝塔 罗克 成为 亿万 小朋友 心中 明星 影响 几代人 成长,1
 人物 简介 人物二 人物一 中国 童话 大王 郑渊洁 笔下 一对 双胞胎 兄妹 中国 孩子 中是 几乎 无人不晓 传奇人物,1
 舒克和贝塔 人物二 人物一 动画 当之无愧,1
 郑渊洁 作品 创造 人物二 人物一 罗克 舒克和贝塔 脍炙人口 家喻户晓 童话 人物 影响 整整 一代人,1
