sent,hard_match
 遭遇 多年 万 将军 已贵 人物二 得力助手 更 因功 携妻 人物一 入宫 受赏,1
 那年 人物二 岁 人物一 岁,1
 那年 人物二 岁 妹妹 人物一 岁,1
 出处 年 大型 古装 励志 偶像剧 陆贞 传奇 又名 女相 人物二 人物 关系 妹妹 人物一,1
 年轻 一辈 里面 人物一 人物二 绝对 算得 优秀,1
 十六年 前 水平 霍都 武功 朱子柳 差不多 人物一 人物二 霍都 正常 何来 脓包 说,1
 年 二十九岁 靖 蓉 寻找 黄药师 巧遇 武三通 之子 人物一 人物二 杨康之 子 杨过,1
 光绪 五年 曾国藩 死后 年 传忠 书局 刻印 人物一 人物二 编校 曾文正公 家书,1
 光绪 八年 人物一 湖广 总督 人物二 任直隶 总督 兼 北洋 大臣 张荫桓 芜湖 关 道,1
 光绪 五年 年 传忠 书局 刻印 门人 人物一 人物二 编校 曾文正公 家书 一直 流传 现在,1
 李文安 曾国藩 同年 登科 并令 其子 人物一 人物二 拜 曾国藩 为师,1
 光绪 五年 年 曾国藩 死后 年 传忠 书局 刻印 人物一 人物二 编校 曾文正公 家书,1
 年 拍摄 智慧 风暴 导演 王冀邢 主演 人物二 人物一 中央电视台 播出,1
 年 出演 人物一 人物二 高惠彬 王卫国 主演 都市 情感 剧 智慧 风暴,1
 年 人物一 香港 歌手 演员 人物二 双生 兄弟,1
 岁 公元前 年 鲁昭公 二十四年 人物二 人物一 学礼于 孔子,1
 前 年 孟僖子 死 嘱咐 二 子 人物二 人物一 师侍 孔子,1
 鲁昭公 二十四年 公元前 年 人物二 人物一 学礼于 孔子,1
 前 年 孟僖子 临终 之前 人物二 人物一 孔子 老师,1
 鲁昭公 二十四年 前 年 孟僖子 临终 之前 人物二 人物一 孔子 老师,1
 师事 出处 左传 昭公 七年 人物二 人物一 师事 仲尼,1
 年 电视剧 乾隆 事 导演 主演 余少群 郭珍霓 人物二 人物一,1
 年 因受 其弟 人物二 影响 人物一 考入 第十一 期 无线 艺员 训练班 学习 表演,1
 年 乾隆 事 饰 张廷玉 主演 余少群 人物二 人物一 郭珍霓 覃 文静 导演 李力安,1
 杨文军 主要 作品 杨文军 电视剧 年 新 乱世佳人 主演 恬妞 人物一 人物二,1
 社会活动 年 人物一 人物二 兄弟俩 赴 成都 两笔 万元 捐赠 款 交给 四川 慈善 总会,1
 冰上 交易 年 上映 韩国 电影 人物一 执导 黄政民 人物二 主演,1
 年 马东锡 参演 人物一 执导 黄政民 人物二 刘海镇 主演 犯罪 电影 不当 交易,1
 街霸 前传 年 上映 韩国 动作 影片 人物一 执导 崔岷植 人物二 主演,1
 年 河正宇 人物二 全智贤 主演 人物一 执导 谍战 动作片 柏林 饰演 韩国 情报 特工 郑镇 秀,1
 华人 新秀 歌唱 大赛 届 年 金奖 人物一 人物二 银奖 李美林 李玟,1
 年 人物一 人物二 演唱会,1
 届 年 金奖 人物一 人物二 银奖 李美林 李玟,1
 年 连体婴 人物一 人物二 兄弟 接受 分割 手术 重获 新生 成为 亚洲 首例,1
 个人经历 年 连体婴 人物一 人物二 兄弟 接受 分割 手术 重获 新生 成为 亚洲 首例,1
 年 带领 旗下 陈道明 胡军 演员 联手 人物一 人物二 合作 创建 华谊 文化 经纪 有限公司,1
 年底 人物二 大哥 人物一 一起 东莞 从事 加工 生产,1
 荣国公 人物二 宁国公 人物一 弟弟 人物二 死后 儿子 贾代善 袭 爵位,1
 人物二 特点 常家 兄弟 身材 相貌 完全 哥哥 眼角 一粒 黑痣 起名叫 做 人物一 弟弟 没痣 人物二,1
 年 人物一 人物二 假期 泰国 旅行 时 发生 翻车 意外,1
 解放初期 人物二 刚 美国 回到 祖国 人物一 即刻 北上 照料 几个 子女 人物二 专心 一致 工作,1
 台语 闽南语 年初 美国 洛杉矶 来到 台湾 人物一 人物二 林智文 组成,1
 人物二 三兄 人物一 病 辞去 徐州 兵备道 职 人物二 接到 洹 村 同住,1
 光绪 十一年 人物二 驻 朝鲜 总理 交涉 通商 事宜 大臣 人物一 朝鲜 阅 时务 知 交涉 事宜,1
 黄美珍 年长 邵逸夫 岁 婚后 两人育 两子 两女 长子 邵维铭 次女 人物一 三女 邵素云 人物二,1
 两口 相差 半载 年纪 人物二 秀雅 文静 人物一 却是 十分 活泼 两个 性格 截然不同,1
 年 执导 古装 宫斗剧 汉宫 飞燕 该剧 描述 西汉时期 美女 人物二 妹妹 人物一 传奇一生 故事,1
 成帝 晚年 沉溺 声色 人物二 人物一 姐妹 纵情 淫乐 政事,1
 人物二 燕 啄 皇孙 汉书 里 记载 成帝 死后 司隶 解光 人物一 杀害 许美人 女官 曹宫 之子 奏疏 动机 想 惩罚 人物二,1
 永始 元年 前 成帝 立 人物二 皇后 封 人物一 为仪 居 昭阳 宫 皆 黄金 白玉 明珠 翠羽 装饰,1
 后来 姐姐 人物二 无法 产下 皇子 人物一 人物二 解围 免遭 废,1
 年 贾充 结婚 生 人物二 人物一 二女,1
 张志沂 年 年 又名 张廷重 河北 丰润 清末 名臣 张佩纶 李鸿章 女 李菊 耦 独子 人物二 人物一 父亲,1
 年 出版 传记 姊姊 人物二 人物一 合著,1
 假期 里 人物二 当上 一名 图书 促销员 人物一 夏雨拿 表叔 周正 头发 搞 拍卖会 人物二 几经 挫折 最后 取得 成功,1
