id,rule,frequency,label
0,人物一 人物二 人物一,58,1
1,人物二 人物一 人物二,55,1
2,人物二 人物一 人物一,54,1
3,年 人物二 人物一,44,1
4,人物一 母亲 人物二,42,1
5,人物一 人物二 人物二,41,0
6,人物二 人物二 人物一,40,0
7,人物一 人物一 人物二,38,0
8,年 月 人物二,36,0
9,年 人物一 人物二,31,0
10,人物二 生 人物一,30,0
11,年 月 人物一,29,0
12,年 月 日,28,0
13,人物一 年 人物二,24,0
14,人物二 女儿 人物一,24,0
15,月 人物二 人物一,24,0
16,月 日 人物二,22,0
17,人物一 中 人物二,21,0
18,年 日 人物二,21,0
19,年 月 日 人物二,21,0
20,人物一 年 月,20,0
21,人物二 儿子 人物一,20,0
22,人物二 妻子 人物一,19,0
23,人物二 年 人物一,19,0
24,人物一 人物一 人物一,18,0
25,人物一 人物二 中,18,0
26,年 月 人物二 人物一,18,0
27,人物一 月 日,17,0
28,人物二 人物一 中,17,0
29,人物一 年 日,16,0
30,人物一 年 月 日,16,0
31,后来 人物二 人物一,16,0
32,人物一 月 人物二,15,0
33,人物二 人物一 母亲,15,0
34,倚天 屠龙记 人物二,15,0
35,月 日 人物一,15,0
36,个人 生活 人物一,14,0
37,个人 生活 人物二,14,0
38,人物 人物二 人物一,14,0
39,人物一 人物二 女儿,14,0
40,人物一 年 月 人物二,14,0
41,人物二 中 人物一,14,0
42,人物二 人物一 说,14,0
43,人物二 人物二 人物二,14,0
44,年 日 人物一,14,0
45,年 月 日 人物一,14,0
46,中 人物二 人物一,13,0
47,人物 人物一 人物二,13,0
48,人物二 说 人物一,13,0
49,日 人物二 人物一,13,0
50,武当 人物二 人物一,13,0
51,母亲 人物二 人物一,13,0
52,中 人物一 人物二,12,0
53,人物一 妈妈 人物二,12,0
54,人物一 父母 人物二,12,0
55,人物二 人物一 女儿,12,0
56,人物二 年 月,12,0
57,倚天 屠龙记 人物一,12,0
58,月 日 人物二 人物一,12,0
59,人物一 之母 人物二,11,0
60,人物一 人物二 年,11,0
61,人物一 年 日 人物二,11,0
62,人物一 年 月 日 人物二,11,0
63,人物一 日 人物二,11,0
64,人物一 月 日 人物二,11,0
65,人物一 母亲 人物一,11,0
66,年 人物二 女儿,11,0
67,年 日 人物二 人物一,11,0
68,年 月 日 人物二 人物一,11,0
69,生活 人物二 人物一,11,0
70,人物一 冰火 岛,10,0
71,人物一 母 人物二,10,0
72,人物二 人物一 一个,10,0
73,人物二 人物一 冰火,10,0
74,人物二 人物一 年,10,0
75,人物二 人物一 谢逊,10,0
76,人物二 冰火 岛,10,0
77,人物二 招为 驸马,10,0
78,人物二 状元 驸马,10,0
79,人物二 饰 人物一,10,0
80,叔 梁纥 人物二,10,0
81,年 人物二 饰演,10,0
82,月 人物一 人物二,10,0
83,父亲 人物二 人物一,10,0
84,生活 年 人物一,10,0
85,个人 人物二 人物一,9,0
86,个人 生活 人物二 人物一,9,0
87,中 状元 驸马,9,0
88,主持人 人物二 人物一,9,0
89,主演 人物二 人物一,9,0
90,人物一 人物一 父亲,9,0
91,人物一 人物二 母亲,9,0
92,人物一 时 人物二,9,0
93,人物一 生于 人物二,9,0
94,人物一 生母 人物二,9,0
95,人物二 中 状元,9,0
96,人物二 中 状元 驸马,9,0
97,人物二 中 驸马,9,0
98,人物二 人物一 一伙,9,0
99,人物二 人物一 找,9,0
100,人物二 人物一 没有,9,0
101,人物二 天鹰 人物一,9,0
102,人物二 天鹰 教,9,0
103,人物二 教 人物一,9,0
104,人物二 月 日,9,0
105,人物二 生下 人物一,9,0
106,倚天 人物二 人物一,9,0
107,倚天 屠龙记 人物二 人物一,9,0
108,天鹰 教 人物一,9,0
109,屠龙记 人物二 人物一,9,0
110,年 主演 人物一,9,0
111,年 主演 人物二,9,0
112,年 人物一 饰演,9,0
113,故事 人物二 人物一,9,0
114,新加坡 人物二 人物一,9,0
115,月 人物二 女儿,9,0
116,版 人物二 人物一,9,0
117,饰 人物一 饰,9,0
118,个人 年 人物一,8,0
119,个人 年 人物二,8,0
120,个人 生活 年,8,0
121,个人 生活 年 人物一,8,0
122,个人 生活 年 人物二,8,0
123,中国 人物二 人物一,8,0
124,人物一 一伙 强盗,8,0
125,人物一 人物二 人物一 人物一,8,0
126,人物一 人物二 生,8,0
127,人物一 人物二 说,8,0
128,人物一 人物二 驸马,8,0
129,人物一 出 人物二,8,0
130,人物一 年 人物一,8,0
131,人物一 母亲 人物二 人物一,8,0
132,人物一 父亲 人物二,8,0
133,人物一 状元 驸马,8,0
134,人物一 生活 人物二,8,0
135,人物二 一伙 强盗,8,0
136,人物二 举行 婚礼,8,0
137,人物二 人物一 一伙 强盗,8,0
138,人物二 人物一 人物一 人物二,8,0
139,人物二 人物一 公主,8,0
140,人物二 人物一 冰火 岛,8,0
141,人物二 人物一 婚礼,8,0
142,人物二 人物一 岛,8,0
143,人物二 人物一 张,8,0
144,人物二 人物一 强盗,8,0
145,人物二 人物一 父亲,8,0
146,人物二 人物一 钱槐,8,0
147,人物二 人物一 饰,8,0
148,人物二 人物一 驸马,8,0
149,人物二 人物二 中,8,0
150,人物二 儿子 女儿,8,0
151,人物二 前妻 人物一,8,0
152,人物二 发现 人物一,8,0
153,人物二 天鹰 教 人物一,8,0
154,人物二 年 日,8,0
155,人物二 年 月 日,8,0
156,人物二 时 人物一,8,0
157,人物二 月 人物一,8,0
158,人物二 驸马 人物一,8,0
159,叔 人物二 人物一,8,0
160,叔 梁纥 人物一,8,0
161,叔 梁纥 人物二 人物一,8,0
162,后来 人物一 人物二,8,0
163,夏东海 人物二 人物一,8,0
164,年 主演 饰演,8,0
165,年 月 人物一 人物二,8,0
166,年 月 人物二 女儿,8,0
167,年 月 女儿,8,0
168,年 月 年,8,0
169,梁纥 人物二 人物一,8,0
170,毛泽东 人物二 人物一,8,0
171,生活 年 人物二,8,0
172,人物二 人物一 两人,7,0
173,人物二 人物一 主演,7,0
174,人物二 人物一 人物,7,0
175,人物二 人物一 儿子,7,0
176,人物二 人物一 夏雨,7,0
177,人物二 人物一 张无忌,7,0
178,人物二 人物一 时,7,0
179,人物二 人物一 月,7,0
180,人物二 人物一 生活,7,0
181,人物二 人物一 钱槐 一伙,7,0
182,人物二 人物一 钱槐 一伙 强盗,7,0
183,人物二 人物一 钱槐 强盗,7,0
184,人物二 夏东海 人物一,7,0
185,人物二 年 月 人物一,7,0
186,人物二 状元 招为,7,0
187,人物二 状元 招为 驸马,7,0
188,人物二 钱槐 一伙,7,0
189,人物二 钱槐 一伙 强盗,7,0
190,人物二 钱槐 强盗,7,0
191,人物二 饰 饰,7,0
192,人物二 饰演 人物一,7,0
193,年 主演 人物二 人物一,7,0
194,年 人物二 人物二,7,0
195,日 人物二 女儿,7,0
196,月 日 人物二 女儿,7,0
197,月 日 女儿,7,0
198,父亲 母亲 人物二,7,0
199,生活 人物一 人物二,7,0
