id,rule,frequency,label
0,年 人物二 人物一,55,1
1,人物一 人物一 人物二,39,1
2,人物二 人物一 人物二,36,1
3,人物二 弟子 人物一,34,1
4,人物一 人物二 人物二,30,1
5,年 月 人物二,30,1
6,人物二 人物二 人物一,29,1
7,年 人物一 人物二,29,1
8,人物一 人物二 人物一,28,1
9,人物二 人物一 人物一,25,0
10,人物二 弟弟 人物一,25,0
11,年 月 人物一,25,0
12,月 人物二 人物一,25,0
13,人物一 人物二 徒弟,21,0
14,人物二 徒弟 人物一,21,0
15,月 日 人物二,20,0
16,年 月 人物二 人物一,19,0
17,人物二 沈阳 人物一,17,0
18,年 月 日,17,0
19,相声 人物一 人物二,17,0
20,中 人物二 人物一,16,0
21,人物二 人物一 兄弟,16,0
22,人物二 人物一 说,16,0
23,人物一 人物二 弟子,15,0
24,人物一 年 人物二,15,0
25,人物二 中 人物一,15,0
26,月 日 人物一,15,0
27,相声 人物一 已故,15,0
28,相声 姜昆 人物二,15,0
29,相声 姜昆 已故,15,0
30,孟懿子 人物一 人物二,14,0
31,年 日 人物二,14,0
32,年 月 日 人物二,14,0
33,人物一 人物 人物二,13,0
34,人物一 人物一 人物一,13,0
35,人物一 兄长 人物二,13,0
36,人物二 人物一 年,13,0
37,人物二 刘宝瑞 人物一,13,0
38,中 人物一 人物二,12,0
39,人物 人物二 人物一,12,0
40,人物一 人物二 一起,12,0
41,人物一 人物二 妹妹,12,0
42,人物一 人物二 已故,12,0
43,人物一 人物二 弟弟,12,0
44,人物一 哥哥 人物二,12,0
45,人物二 郭启儒 人物一,12,0
46,人物二 集 人物一,12,0
47,儿子 人物二 人物一,12,0
48,姜昆 人物二 已故,12,0
49,相声 人物一 人物二 已故,12,0
50,相声 人物二 已故,12,0
51,相声 姜昆 人物二 已故,12,0
52,表演者 人物二 人物一,12,0
53,人物一 年 月,11,0
54,召唤 人物二 人物一,11,0
55,日 人物二 人物一,11,0
56,月 人物一 人物二,11,0
57,月 日 人物二 人物一,11,0
58,相声 冯巩 人物二,11,0
59,相声 冯巩 已故,11,0
60,相声 唐杰忠 人物二,11,0
61,相声 唐杰忠 已故,11,0
62,主要 人物二 人物一,10,0
63,人物一 人物二 年,10,0
64,人物二 人物一 冯巩,10,0
65,人物二 人物一 封神,10,0
66,人物二 收 人物一,10,0
