sent,hard_match
 秦时 明月 动画版 人物二 人物一,0
 伏念 知道 人物二 人物一 藏身 圣贤 庄 事实 之后 大为 震怒 颜路 张良 招来 议事厅 严厉 斥责 欲 颜路 逐出 师门,0
 动画 第二部 秦时 明月 之夜 天明 中 石林 里 公输 仇 操纵 机关 蛇 高月 指挥 人物一 人物二 操纵 机关 白虎 打败 摧毁,0
 逃于 云中君 徐福 阴阳 傀儡 众 蜃楼 太阳 武士 众 人物二 人物一 合力,0
 胜 人物一 小虞 人物二 人物一 小虞 合战 虞子期 人物二 人物一 帮助 逃离,0
 新任 墨家巨子 人物二 项氏 一族 少主 人物一 桑海 城中 游玩,0
 好友 人物二 人物一 胡冰卿 饰演 高月 张,0
 人物一 第一部 苦战 无双 鬼 纵横家 剑圣 盖聂 叛逃 秦国 携 故人 荆轲 之子 人物二 亡命天涯 连续 三百 秦兵 作战 重伤 昏厥,0
 秦时 明月 星魂 人物二 人物一,0
 动漫 主人公 人物二 高月 人物一 石兰 玩家 邂逅 一同 展开 声张 正义 抗击 秦国 暴政 非凡 历程,0
 冯骏骅 人物二 燕 太子妃 月 神 沈达威 人物一 谢添天 卫庄 秦始皇,0
 场中 人物二 眉头 微皱 没有 说话 凝视着 那道 雷光 人物一 面带 惊讶 之色 一声,0
 人物一 人物 评析 人物一 算是 人物二 青云 门 林惊羽 以外 最好 一个 朋友,0
 人物一 天资过人 人物二 道 刚才 结识 一位 风回峰 师兄 听 说 名叫 人物一,0
 苍松道人 点 点头 转向 台下 朗 声道 明日 比试 龙首 峰 齐昊 对风 回峰 人物一 小竹峰 陆雪琪 大竹 峰 人物二,0
 人物二 吃 一惊 昨日 意外 胜 彭昌 之后 人物一 人前 冷冰冰 没想到 他会 主动 说话,0
 人物二 远远 应 一声 人物一 书 说 两句 便 跑 过去 大黄 背着 小灰 上去,0
 比武 大会 青云 门 磨练 弟子 派 获胜 前 四名 齐昊 陆雪琪 人物一 人物二 空桑 山万蝠 古窟 中 查探 魔教 异动,0
 人物 称呼 小凡 陆雪琪 碧瑶 田灵儿 苏茹 林惊羽 人物一 称 人物二 那本书 灵魂,0
 人物一 玄幻 武侠小说 诛仙 中 人物 书迷 其同 人物二 师兄 杜必书 合称 青云 双书 两人 广受 读者 喜爱,0
 道 玄真 人大 怒 陆雪琪 挺身而出 性命 担保 人物二 魔教 恶徒 林惊羽 人物一 田灵儿 齐昊 人物二 说话,0
 人物二 道 刚才 结识 一位 风回峰 人物一 师兄 听 说 名叫 人物一,0
 人物一 主要 剧情 人物一 算是 人物二 青云 门 林惊羽 以外 最好 一个 朋友 人物一,0
 人物二 犹豫 一下 小灰递 过去 人物一 喜滋滋 抱 怀中 小灰 却是 大为 不满 吱吱 尖叫,0
 倒 人物一 依旧 笑呵呵 人物二 走 一起 绝口不提 刚才 事 口中 滔滔不绝 地向 人物二 介绍 河 阳城,0
 人物二 道 大竹 峰 弟子 人物二 人物一 师兄,0
 人物 称呼 人物二 漫画版 小凡 陆雪琪 碧瑶 田灵儿 苏茹 林惊羽 人物一 称,0
 人物二 林惊羽 陆雪琪 杨紫饰 人物一 秦俊杰 饰 善良 热血 少年 一道 帮助 良善 斩妖 除恶,0
 人物一 青云 志 剧情简介 草庙 村 少年 人物二 李易 峰饰 经历 全村 尽灭 惨案 青云 门 收归 门下,0
 人物二 结识 碧瑶 陆雪琪 人物一 好友 一次次 坎坷 磨难 中 逐渐 成长,0
 人物一 主要 剧情 人物一 算是 人物二 青云 林惊羽 以外 最好 一个 朋友 关系 比小凡 林惊羽 更为 融洽,0
 人物二 道 大竹 峰 弟子 人物二 人物一 师兄,0
 人物二 林惊羽 陆雪琪 人物一 善良 热血 少年 一道 帮助 良善 斩妖 除恶,0
 仿佛 注意 人物二 搜索 目光 两方 擦肩而过 时 人物一 忽然 人物二 道 彭 师兄 没 居所 养伤,0
 人物一 不理 拉上 人物二 往里 挤 风回峰 弟子 显然 人物一 极好 一个个 旁边 让开 连带 人物二 沾光 挤 进去,0
 人物二 朋友 人物一 儿子,0
 人物二 吃 一惊 未 说出 话 忽然间 人物一 眼前一亮 看到 前面 站 几十个 风回峰 弟子 二话不说 拉上 人物二 过去,0
 人物二 人物 称呼 人物二 漫画版 小凡 陆雪琪 碧瑶 田灵儿 苏茹 林惊羽 人物一 称,0
 正好 小说 中 人物 感情 吻合 人物二 回忆 人物一 长期 不能 再见 可能 黄易 创作 时有 参照,0
 人物二 百般 躲避 人物一 人物二 擦肩而过,0
 人物一 感觉 白云飞 人物二 无比 牵挂 明白 白云飞 心中 人物二 人物一 感觉 十分 落寞,0
 人物二 气 人物一 一顿 放回 人物一 气破 胸脯,0
 人物一 第九集 人物二 气 人物一 一顿 放回,0
 太后 人物一 探视 文媚儿 文媚儿 说 人物二 坏话 太后 大怒 太后 追索 人物二 朱允 掩护 人物二 逃出 宫去 人物二 争辩,0
 人物一 第二十七 集 人物二 回宫 继续 想 办法 搓合 白云飞 人物一 可惜 设计 计策,0
 朱允想 人物二 远离 白云飞 利用 人物一 惩罚 人物二 心态 人物一 灌输 计谋,0
 人物一 第十二 集 太后 追索 人物二 朱允 掩护 人物二 逃出 宫去,0
 人物一 回京 路见不平 人物二 大打出手 人物二 一人 难敌 人物一 众 手下 危急 时 白云飞 现身 击败 人物一 救 走 人物二,0
 人物二 告诉 人物一 文媚儿 假 怀孕 事 人物一 白云飞 暗中 展开 调查,0
 人物一 分 集 介绍 人物一 第一集 人物二 万人敌 合作 骗 公子哥 钱 帮助 可怜 穷苦,0
 人物一 第二十二 集 朱允 更加 喜欢 人物二 决心 先纳 人物二 妃,0
 人物二 身陷 绝境 却智激 人物一 人物一 上当 人物二 单打独斗 人物二 趁机 逃入 朱允 宫中,0
 人物一 第十三 集 文媚儿 挑拨 人物一 安宁 恨透了 人物二,0
 人物二 十分 感谢 人物一 哥哥 帮助 决心 成全 人物一 白云飞,0
 文韬 暗箭伤人 人物二 重伤 白云飞 左右 人物二 昏迷不醒 时 白云飞 表露 心迹 恰 前来 探望 人物一 听到,0
 人物一 人物二 之名 约 白云飞 白云飞 大喜 赴约 得到 人物一 一顿 讥刺,0
 觉得 白云飞 人物一 一对 想尽办法 成全 二人 二人 一起 生气 打闹 全 不符 人物二 原先 设计,0
 朱允 心想 人物二 文媚儿 察觉 蛊惑 人物一 说 白云飞 人物二 共 一处 多时 难辞 嫌疑,0
 人物一 跟踪 白云飞 家 发现 人物二 正 吵闹 不安 朱允 准许 不于 追究 人物二 闹婚 事件 借机 分开 人物二 白云飞 两人,0
 朱允招 白云飞 进宫 宣称 已经 撤消 人物一 之间 婚约 是否 人物二 之间 婚事 加 干涉 答应 不再 追求 人物二,0
 人物二 一人 难敌 人物一 众 手下 危急 时 白云飞 现身 击败 人物一 救 走 人物二,0
 人物一 约 人物二 入宫 斥责 人物二,0
 人物二 感激 人物一 暗中相助 成全 哥哥 婚事 答应 朱允 尽量减少 白云飞 接触,0
 人物一 生气 想起 日前 人物二 白云飞 戏弄 决心 出宫 寻找 两个 家伙,0
 司徒剑南 第二十三 集 司徒 家 几乎 出动 寻找 人物二 朱允 白云飞 人物一 派 四处 查找 人物二 下落,0
 蛊惑 人物一 防范 人物二 人物一 上当,0
 人物一 闹市 中 发现 人物二 欲 抓 人物二 反 万人敌 擒,0
 人物一 文媚儿 蛊惑 气撒到 人物二 身上 人物二 根本 不吃 安宁 那套 二人 打来 闹,0
 人物一 第二十六 集 文媚儿 人物二 恼羞成怒 命令 文韬 务必 杀掉 人物二,0
 万人敌 欲 羞辱 人物一 人物二 报功 人物二 惊 怕 知道 闯 大祸,0
 人物一 如今 白云飞 朋友 白云飞 若即若离 主动 多约 人物二 白云飞 想见 白云飞 人物一 倒成 朋友,0
 人物二 智激 人物一 人物一 大包大揽 拽 朱允 庵 中 劝说 文蔷,0
 人物一 现在 白云飞 朋友 白云飞 若即若离 主动 多约 人物二 白云飞 想见 白云飞 人物一 倒成 朋友,0
 人物一 上当 恳求 朱允 人物二 进宫 陪伴 朱允 似乎 十分 无奈 答应 人物一 十分高兴,0
 朱允 人物二 执意 不立 文媚儿 皇后 白云飞 人物二 决意 中止 人物一 婚约,0
 文媚儿 妒恨 人物二 故伎 重施 人物一 面前 调拨 人物二 之间 关系,0
 人物一 第二十三 集 司徒 家 几乎 出动 寻找 人物二 朱允 白云飞 人物一 派 四处 查找 人物二 下落,0
