id,rule,frequency,label
0,人物一 儿子 人物二,64,0
1,人物二 人物一 人物二,50,0
2,人物二 人物二 人物一,43,0
3,年 人物一 人物二,42,0
4,人物二 父亲 人物一,41,0
5,人物一 人物二 人物二,38,0
6,年 人物二 人物一,38,0
7,人物一 人物一 人物二,29,0
8,人物二 人物一 人物一,27,0
9,人物一 人物二 人物一,26,0
10,人物二 人物一 之子,26,0
11,年 月 人物一,26,0
12,人物一 人物二 中,25,0
13,年 月 人物二,25,0
14,年 月 日,25,0
15,人物一 人物二 父亲,24,0
16,人物二 传奇 人物一,24,0
17,人物二 中 人物一,21,0
18,人物二 人物一 儿子,21,0
19,月 日 人物一,21,0
20,年 日 人物一,20,0
21,年 月 日 人物一,20,0
22,月 日 人物二,20,0
23,中 人物一 人物二,19,0
24,人物一 之子 人物二,19,0
25,人物一 年 人物二,19,0
26,年 日 人物二,19,0
27,年 月 日 人物二,19,0
28,人物二 人物一 中,18,0
29,人物二 花满楼 人物一,18,0
30,人物一 生 人物二,17,0
31,人物二 人物一 年,16,0
32,人物二 母亲 人物一,15,0
33,中 人物二 人物一,14,0
34,人物 人物二 人物一,14,0
35,人物一 人物 人物二,14,0
36,人物一 作词 人物二,14,0
37,人物一 作词 作曲,14,0
38,人物二 人物二 中,14,0
39,年 月 人物一 人物二,14,0
40,月 人物一 人物二,14,0
41,月 人物二 人物一,14,0
42,人物一 人物二 作曲,13,0
43,人物一 作词 人物二 作曲,13,0
44,人物一 女儿 人物二,13,0
45,人物一 年 月,13,0
46,人物二 人物 人物一,13,0
47,作词 人物二 作曲,13,0
48,人物 人物一 人物二,12,0
49,人物一 人物二 年,12,0
50,日 人物一 人物二,12,0
51,人物一 人物二 儿子,11,0
52,人物一 人物二 蒋介石,11,0
53,人物一 兰若 寺,11,0
54,人物一 寺 人物二,11,0
55,人物一 月 日,11,0
56,人物二 人物一 妻子,11,0
57,人物二 年 月,11,0
58,人物二 父 人物一,11,0
59,年 人物一 上海,11,0
60,个人 生活 人物二,10,0
61,中 人物 人物一,10,0
62,人物一 人物二 传奇,10,0
63,人物一 人物二 便,10,0
64,人物一 古龙 人物二,10,0
65,人物二 中 人物,10,0
66,人物二 人物一 张,10,0
67,人物二 人物二 人物二,10,0
68,人物二 人物二 父亲,10,0
69,人物二 作曲 专辑,10,0
70,人物二 决战 人物一,10,0
71,人物二 妻子 人物一,10,0
72,年 日 人物一 人物二,10,0
73,年 月 人物二 人物一,10,0
74,年 月 日 人物一 人物二,10,0
75,日 人物二 人物一,10,0
76,月 日 人物一 人物二,10,0
77,月 日 人物二 人物一,10,0
78,父亲 人物一 人物二,10,0
79,书生 人物一 人物二,9,0
80,人物一 专辑 中,9,0
81,人物一 人物二 专辑,9,0
82,人物一 人物二 专辑 中,9,0
83,人物一 兰若 人物二,9,0
84,人物一 兰若 寺 人物二,9,0
85,人物一 妻子 人物二,9,0
86,人物一 说 人物二,9,0
87,人物二 专辑 中,9,0
88,人物二 人物一 人物二 中,9,0
89,人物二 人物一 长子,9,0
90,人物二 作曲 专辑 中,9,0
91,人物二 作曲 中,9,0
92,人物二 年 人物一,9,0
93,人物二 歌曲 专辑,9,0
94,人物二 演唱 专辑,9,0
95,人物二 演唱 专辑 中,9,0
96,人物二 演唱 中,9,0
97,人物二 神 人物一,9,0
98,人物二 蒋介石 人物一,9,0
99,人物二 饰演 人物一,9,0
100,作曲 专辑 中,9,0
101,兰若 寺 人物二,9,0
102,年 人物二 上海,9,0
103,年 人物二 蒋介石,9,0
104,年 日 人物二 人物一,9,0
105,年 月 上海,9,0
106,年 月 日 人物二 人物一,9,0
107,林秋离 作词 人物二,9,0
108,林秋离 作词 作曲,9,0
109,歌曲 专辑 中,9,0
110,母亲 人物一 人物二,9,0
111,演唱 专辑 中,9,0
112,演唱 歌曲 专辑,9,0
113,人物一 作词 人物二 作曲 专辑,8,0
114,人物一 作词 人物二 作曲 专辑 中,8,0
115,人物一 作词 人物二 作曲 中,8,0
116,人物一 作词 作曲 专辑,8,0
117,人物一 作词 作曲 专辑 中,8,0
118,人物一 作词 作曲 中,8,0
119,人物一 叶孤城 人物二,8,0
120,人物一 年 年,8,0
