id,rule,frequency
0,人物一 人物二 人物一,58
1,人物二 人物一 人物二,55
2,人物二 人物一 人物一,54
3,年 人物二 人物一,44
4,人物一 母亲 人物二,42
5,人物一 人物二 人物二,41
6,人物二 人物二 人物一,40
7,人物一 人物一 人物二,38
8,年 月 人物二,36
9,年 人物一 人物二,31
10,人物二 生 人物一,30
11,年 月 人物一,29
12,年 月 日,28
13,人物一 年 人物二,24
14,人物二 女儿 人物一,24
15,月 人物二 人物一,24
16,月 日 人物二,22
17,人物一 中 人物二,21
18,年 日 人物二,21
19,年 月 日 人物二,21
20,人物一 年 月,20
21,人物二 儿子 人物一,20
22,人物二 妻子 人物一,19
23,人物二 年 人物一,19
24,人物一 人物一 人物一,18
25,人物一 人物二 中,18
26,年 月 人物二 人物一,18
27,人物一 月 日,17
28,人物二 人物一 中,17
29,人物一 年 日,16
30,人物一 年 月 日,16
31,后来 人物二 人物一,16
32,人物一 月 人物二,15
33,人物二 人物一 母亲,15
34,倚天 屠龙记 人物二,15
35,月 日 人物一,15
36,个人 生活 人物一,14
37,个人 生活 人物二,14
38,人物 人物二 人物一,14
39,人物一 人物二 女儿,14
40,人物一 年 月 人物二,14
41,人物二 中 人物一,14
42,人物二 人物一 说,14
43,人物二 人物二 人物二,14
44,年 日 人物一,14
45,年 月 日 人物一,14
46,中 人物二 人物一,13
47,人物 人物一 人物二,13
48,人物二 说 人物一,13
49,日 人物二 人物一,13
50,武当 人物二 人物一,13
51,母亲 人物二 人物一,13
52,中 人物一 人物二,12
53,人物一 妈妈 人物二,12
54,人物一 父母 人物二,12
55,人物二 人物一 女儿,12
56,人物二 年 月,12
57,倚天 屠龙记 人物一,12
58,月 日 人物二 人物一,12
59,人物一 之母 人物二,11
60,人物一 人物二 年,11
61,人物一 年 日 人物二,11
62,人物一 年 月 日 人物二,11
63,人物一 日 人物二,11
64,人物一 月 日 人物二,11
65,人物一 母亲 人物一,11
66,年 人物二 女儿,11
67,年 日 人物二 人物一,11
68,年 月 日 人物二 人物一,11
69,生活 人物二 人物一,11
70,人物一 冰火 岛,10
71,人物一 母 人物二,10
72,人物二 人物一 一个,10
73,人物二 人物一 冰火,10
74,人物二 人物一 年,10
75,人物二 人物一 谢逊,10
76,人物二 冰火 岛,10
77,人物二 招为 驸马,10
78,人物二 状元 驸马,10
79,人物二 饰 人物一,10
80,叔 梁纥 人物二,10
81,年 人物二 饰演,10
82,月 人物一 人物二,10
83,父亲 人物二 人物一,10
84,生活 年 人物一,10
85,个人 人物二 人物一,9
86,个人 生活 人物二 人物一,9
87,中 状元 驸马,9
88,主持人 人物二 人物一,9
89,主演 人物二 人物一,9
90,人物一 人物一 父亲,9
91,人物一 人物二 母亲,9
92,人物一 时 人物二,9
93,人物一 生于 人物二,9
94,人物一 生母 人物二,9
95,人物二 中 状元,9
96,人物二 中 状元 驸马,9
97,人物二 中 驸马,9
98,人物二 人物一 一伙,9
99,人物二 人物一 找,9
100,人物二 人物一 没有,9
101,人物二 天鹰 人物一,9
102,人物二 天鹰 教,9
103,人物二 教 人物一,9
104,人物二 月 日,9
105,人物二 生下 人物一,9
106,倚天 人物二 人物一,9
107,倚天 屠龙记 人物二 人物一,9
108,天鹰 教 人物一,9
109,屠龙记 人物二 人物一,9
110,年 主演 人物一,9
111,年 主演 人物二,9
112,年 人物一 饰演,9
113,故事 人物二 人物一,9
114,新加坡 人物二 人物一,9
115,月 人物二 女儿,9
116,版 人物二 人物一,9
117,饰 人物一 饰,9
118,个人 年 人物一,8
119,个人 年 人物二,8
120,个人 生活 年,8
121,个人 生活 年 人物一,8
122,个人 生活 年 人物二,8
123,中国 人物二 人物一,8
124,人物一 一伙 强盗,8
