id,rule,frequency
0,人物一 儿子 人物二,64
1,人物二 人物一 人物二,50
2,人物二 人物二 人物一,43
3,年 人物一 人物二,42
4,人物二 父亲 人物一,41
5,人物一 人物二 人物二,38
6,年 人物二 人物一,38
7,人物一 人物一 人物二,29
8,人物二 人物一 人物一,27
9,人物一 人物二 人物一,26
10,人物二 人物一 之子,26
11,年 月 人物一,26
12,人物一 人物二 中,25
13,年 月 人物二,25
14,年 月 日,25
15,人物一 人物二 父亲,24
16,人物二 传奇 人物一,24
17,人物二 中 人物一,21
18,人物二 人物一 儿子,21
19,月 日 人物一,21
20,年 日 人物一,20
21,年 月 日 人物一,20
22,月 日 人物二,20
23,中 人物一 人物二,19
24,人物一 之子 人物二,19
25,人物一 年 人物二,19
26,年 日 人物二,19
27,年 月 日 人物二,19
28,人物二 人物一 中,18
29,人物二 花满楼 人物一,18
30,人物一 生 人物二,17
31,人物二 人物一 年,16
32,人物二 母亲 人物一,15
33,中 人物二 人物一,14
34,人物 人物二 人物一,14
35,人物一 人物 人物二,14
36,人物一 作词 人物二,14
37,人物一 作词 作曲,14
38,人物二 人物二 中,14
39,年 月 人物一 人物二,14
40,月 人物一 人物二,14
41,月 人物二 人物一,14
42,人物一 人物二 作曲,13
43,人物一 作词 人物二 作曲,13
44,人物一 女儿 人物二,13
45,人物一 年 月,13
46,人物二 人物 人物一,13
47,作词 人物二 作曲,13
48,人物 人物一 人物二,12
49,人物一 人物二 年,12
50,日 人物一 人物二,12
51,人物一 人物二 儿子,11
52,人物一 人物二 蒋介石,11
53,人物一 兰若 寺,11
54,人物一 寺 人物二,11
55,人物一 月 日,11
56,人物二 人物一 妻子,11
57,人物二 年 月,11
58,人物二 父 人物一,11
59,年 人物一 上海,11
60,个人 生活 人物二,10
61,中 人物 人物一,10
62,人物一 人物二 传奇,10
63,人物一 人物二 便,10
64,人物一 古龙 人物二,10
65,人物二 中 人物,10
66,人物二 人物一 张,10
67,人物二 人物二 人物二,10
68,人物二 人物二 父亲,10
69,人物二 作曲 专辑,10
70,人物二 决战 人物一,10
71,人物二 妻子 人物一,10
72,年 日 人物一 人物二,10
73,年 月 人物二 人物一,10
74,年 月 日 人物一 人物二,10
75,日 人物二 人物一,10
76,月 日 人物一 人物二,10
77,月 日 人物二 人物一,10
78,父亲 人物一 人物二,10
79,书生 人物一 人物二,9
80,人物一 专辑 中,9
81,人物一 人物二 专辑,9
82,人物一 人物二 专辑 中,9
83,人物一 兰若 人物二,9
84,人物一 兰若 寺 人物二,9
85,人物一 妻子 人物二,9
86,人物一 说 人物二,9
87,人物二 专辑 中,9
88,人物二 人物一 人物二 中,9
89,人物二 人物一 长子,9
90,人物二 作曲 专辑 中,9
91,人物二 作曲 中,9
92,人物二 年 人物一,9
93,人物二 歌曲 专辑,9
94,人物二 演唱 专辑,9
95,人物二 演唱 专辑 中,9
96,人物二 演唱 中,9
97,人物二 神 人物一,9
98,人物二 蒋介石 人物一,9
99,人物二 饰演 人物一,9
100,作曲 专辑 中,9
101,兰若 寺 人物二,9
102,年 人物二 上海,9
103,年 人物二 蒋介石,9
104,年 日 人物二 人物一,9
105,年 月 上海,9
106,年 月 日 人物二 人物一,9
107,林秋离 作词 人物二,9
108,林秋离 作词 作曲,9
109,歌曲 专辑 中,9
110,母亲 人物一 人物二,9
111,演唱 专辑 中,9
112,演唱 歌曲 专辑,9
113,人物一 作词 人物二 作曲 专辑,8
114,人物一 作词 人物二 作曲 专辑 中,8
115,人物一 作词 人物二 作曲 中,8
116,人物一 作词 作曲 专辑,8
117,人物一 作词 作曲 专辑 中,8
118,人物一 作词 作曲 中,8
119,人物一 叶孤城 人物二,8
120,人物一 年 年,8
121,人物一 年 日,8
122,人物一 年 月 日,8
123,人物一 收录 专辑,8
124,人物一 收录 专辑 中,8
125,人物一 收录 中,8
126,人物一 生下 人物二,8
127,人物二 一首 专辑,8
128,人物二 一首 专辑 中,8
129,人物二 一首 中,8
130,人物二 一首 收录,8
131,人物二 一首 收录 专辑,8
132,人物二 一首 收录 专辑 中,8
133,人物二 一首 收录 中,8
134,人物二 一首 歌曲,8
135,人物二 一首 歌曲 专辑,8
136,人物二 一首 歌曲 专辑 中,8
137,人物二 一首 歌曲 中,8
138,人物二 一首 歌曲 收录,8
139,人物二 一首 歌曲 收录 专辑,8
140,人物二 一首 歌曲 收录 专辑 中,8
141,人物二 一首 歌曲 收录 中,8
142,人物二 中 人物 人物一,8
143,人物二 人物 人物二,8
