id,sent,softmatch_score,softmatch
0, 人物一 字 壮德 山东 沂水 人物二 表弟 善使 青 釭 剑 做 事 尽心尽力 舍死 拼命,0.9120569,0
1, 人物二 号召 弟妹们 帮 一起 黄家 姊 弟们 决定 斗武来 选出 五人 帮助 人物一 轻松 脱颖而出,0.9088985,0
2, 回到 华国 对抗 卫将 杨东 子荣 救驾 沂蒙山 搭救 人物二 几次 接应 迟恒喆 人物一 化险为夷,0.90364814,0
3, 刘振 捉住 人物一 人物一 人物二 救 走,0.9001936,0
4, 茅以新 家庭成员 茅以新 共育 四个 子女 茅于海 人物一 人物二 茅 于兰,0.9275188,0
5, 人物一 茅以新 二 儿子 著名 经济学家 人物二 二弟 茅以升 侄子,0.90873986,0
6, 御剑 山庄 十五 月 圆之夜 迎来 投帖 竟是 之前 失踪 山庄 小姐 人物一 现任 庄主 人物二 唯一 亲 妹妹,0.92900246,0
7, 御剑 山庄 十五 月 圆之夜 迎来 投帖 竟是 五年 前 失踪 山庄 小姐 人物一 现任 庄主 人物二 唯一 亲 妹妹,0.9340865,0
8, 评价 台湾 人物二 人物一 哥哥,0.9215978,0
9, 年 月 日 人物一 讲故事 片方 曝光 一款 名叫 人物二 讲故事 片花,0.9599761,0
10, 人物二 评价 台湾 人物二 人物一 哥哥,0.919096,0
11, 天津 妞 人物二 讲 人物一 鬼故事 司文痞子 部 编导 司文痞子 配音 理树,0.9101658,0
12, 影帝 人物一 亲哥哥 人物二 演技 同样 可圈可点,0.9032781,0
14, 人物一 人物二 从弟 东阳,0.9528208,0
15, 次媳 人物一 南朝 诗人 人物二 妹 彭城 江苏 徐州 世称 刘三 娘,0.90846336,0
16, 人物二 三个 妹妹 大妹 嫁琅 琊 王淑英 世称 刘 大娘 当时 文集 行世 人物一 齐名 二妹 嫁 吴 郡 张嵊,0.9196943,0
17, 遭遇 多年 万 将军 已贵 人物二 得力助手 更 因功 携妻 人物一 入宫 受赏,0.904399,0
18, 人物一 人物一 人物二 堂弟 曾经 蔡依林 传 绯闻,0.92267257,0
19, 人物一 演艺 经历 年 客串 人物二 主演 电视剧 单身 宿舍 连环泡 正式 进入 演艺圈,0.90913135,0
20, 新近 窜 红 新秀 人物二 弟弟 人物一 高冈早纪 津川雅彦 实力 演员 参演 本片,0.92218906,0
21, 圈中 好友 人物二 人物一,0.9426848,0
22, 恋爱 格局 演员表 恋爱 格局 人物二 父亲 已逝 知名演员 松田优作 弟弟 人物一 演员,0.9118252,0
23, 私底下 好友 人物一 哥哥 人物二 市原 隼 龙一 看好 朋友 人物一 主演 连续剧,0.920061,0
26, 儿子 人物二 女儿 人物一,0.9421549,0
27, 那年 人物二 岁 人物一 岁,0.9020879,0
28, 人物一 钱学森 之女 年 月 日出 生于 美国 加州 年 父母 哥哥 人物二 回国 从事 音乐教育 工作,0.91486263,0
29, 年 月 日 钱学森 导师 冯 卡门 告别 之后 带 妻子 蒋英 幼儿 人物二 幼女 人物一 登上 克利夫兰 总统 号 轮船 启程 回国,0.9036367,0
30, 育有 一子 人物二 一女 人物一,0.91480035,0
33, 人物一 人物二 之弟 范阳 涿人,0.9344315,0
34, 人物一 个人经历 人物一 自幼 随父 常连安 兄 人物二 学艺,0.9012826,0
35, 出处 年 大型 古装 励志 偶像剧 陆贞 传奇 又名 女相 人物二 人物 关系 妹妹 人物一,0.91203284,0
36, 人物一 先秦 人物 人物二 之弟 一说 骂 跑 孔子,0.90715355,0
38, 母亲 长沙 妃 檀氏字 宪子 谥 景定 出自 高平 平阳 檀氏 人物一 兄弟 刘义欣 人物二 刘义宗 刘义宾 刘义綦,0.9045189,0
39, 刘道怜 家族 成员 刘道怜 六子 刘义欣 嗣 人物二 人物一 刘义宗 义宾 义 綦,0.9018068,0
40, 人物一 人物二 弟,0.9616453,0
41, 人物一 人物二 弟 官至 侍中 选部 尚书 镇南 将军 散 骑常侍 封爵 乐陵 公,0.91126394,0
42, 鄞县 志 人物二 载 人物一 复 佩服 六经 质有 其文 溯 蕺 山之学脉 仰 证人 成规,0.90290844,0
43, 人物二 令弟 人物一 前进,0.9055155,0
44, 人物一 人物二 弟 清河 东武城,0.9154088,0
46, 人物一 字 显智 人物二 弟,0.9013215,0
48, 封号 斗罗数 名 五位 长老 宗主 人物二 啸 天斗罗 人物一 昊天 斗罗 恢复 唐三 千手 斗罗 首席 长老,0.9090703,0
50, 人物二 焦恩俊 人物一 宋达民 柳妻 曾亚军 柳如 月 郑 宜 雰 顾 清风 田丰,0.9160739,0
51, 人物一 唐将 人物二 之弟 自曹州 刺史 权 汴州 留后,0.9060688,0
52, 年 人物二 入朝 长安 加封 检校 尚书 右仆射 年 人物二 再次 入朝 回任 病死 其弟 人物一 自封 汴 宋 节度 留后,0.9148108,0
53, 己丑 二十日 代宗 任命 人物二 弟弟 人物一 汴 宋留,0.9012626,0
54, 主要 人物 李青萝 刘珏 刘 绯 人物一 人物二 成思 悦 暗夜 顾天翔 顾天琳 王燕 回 楚南,0.9155946,0
55, 王燕 回 王太傅 女儿 排兵 布阵 理想 男儿 战场 嫁给 人物二 欣赏 人物一 助其 登基 失败 最后 自杀 结局 悲惨,0.91024184,0
56, 人物二 角色 设定 身份 衡山 派 掌门 人物一 一任,0.91738427,0
58, 人物二 堂兄弟 人物一 宋洽 四 儿子 字道茂 时年 数岁 亲人 窃 逃,0.909144,0
59, 儿子 人物二 人物一,0.94021106,0
60, 人物一 原名 人物二 年 月 日 生于 四川省 南充市 仪陇县 一个 农民 家庭,0.9264368,0
61, 人物一 人物二 弟 荥阳 开封人 解褐奉 请 领 侍御史 军功 赐爵 城皋 男,0.9003479,0
62, 能够 谢道韫 相提并论 当时 同郡 人物一 人物一 人物二 妹妹 家世 自然 不及 谢家 才情 差堪 比拟 人物一 嫁 顾家,0.9188022,0
63, 叶挺 率 独立团 先锋 该团 扩编 两个 师 人物二 偕同 弟弟 人物一 一起 成为 第二十四 师 团 卫生队 军医 当时 师长 叶挺,0.9264258,0
64, 年 八一 南昌起义 叶挺 率部 参加 人物二 偕同 弟弟 人物一 一起 部队 中 担任 军医,0.90669185,0
65, 年 八一 南昌起义 叶挺 率部 参加 人物一 跟着 哥哥 人物二 一起 部队 中 担任 军医,0.90647244,0
66, 人物二 为书中 男配 女主角 人物一 四哥,0.912076,0
67, 瀛洲 取草 借结魄 灯 四哥 人物二 提 点 人物一 终于 明白 早已 爱上 夜华,0.9068678,0
68, 人物一 为震公 次子 人物二 之弟 字 国英,0.9112223,0
69, 人物一 人物二 堂弟,0.9758401,0
70, 人物二 杨怀民 人物一 狄莺 莫愁 赵永馨 荆无命 谢屏楠 仁宗 施羽,0.92067593,0
71, 人物一 字 安乐 人物二 弟 赐爵 广陵 侯,0.90043765,0
72, 人物一 字秀 人物二 弟,0.95641434,0
73, 人物一 介绍 人物一 字秀 人物二 弟,0.94728655,0
74, 人物一 字子通 人物二 第四 弟 渤海 蓚,0.91502345,0
75, 人物一 人物二 四弟 官至 仪同 三司 封乘氏 县子 追赠 侍中 冀州 刺史,0.9029771,0
76, 人物一 人物二 小学生 人物一,0.9995779,0
77, 剧中 人物一 应是 人物二 妹妹 薄巧慧 夜找 人物二 时说 皇后 窦漪 房 陷害 姐姐,0.90695256,0
78, 师父 江南七怪 柯镇恶 朱聪 人物二 南希仁 张阿生 全金发 人物一 洪七公 哲别,0.90819615,0
79, 师父 柯镇恶 朱聪 人物二 南希仁 张阿生 全金发 人物一 北丐 洪七公 蒙古 神箭手 哲别,0.9044419,0
80, 人物一 事 难免 做 偏颇 巧妙 决绝 方式 永远 隔开 人物二 唯一 仅存 兄弟 情谊,0.90286845,0
81, 人物一 年 菲尔茨奖 获得者 人物二 弟弟 出生 澳大利亚 阿得雷 德 家中 次子,0.9173833,0
82, 人物一 人物二 郭 芙 千依百顺 郭芙说 做,0.9119377,0
83, 人物一 人物二 被俘 年轻 武功 低微 正常,0.9152342,0
84, 人物二 人物一 师 兄妹 少年 时 青梅竹马 亲友 之情 后来 转化 普通 亲戚,0.90065765,0
86, 人物一 人物二 兄弟 拜 大侠 郭靖 为师 学过 一阳指 武功 近于 九指 神丐 洪七公 一派 刚猛 路子,0.90248513,0
87, 师兄 人物一 人物二,0.95924413,0
88, 杨过 仅限于 对付 李莫愁 时 江湖 五绝 亲友 徒孙 傻姑 亲传 人物一 人物二 陆冠英 郭 芙 郭襄 郭破虏 东邪 药师 派 门人,0.9041677,0
89, 主要 原因 郭靖 专心 守城 无暇 教 人物一 人物二 练武 相关,0.9160783,0
